@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute MAX_SNR numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_is_rate_trig_binary numeric
@attribute bat_trigger_dur numeric
@attribute uvot_detection_binary numeric
@attribute PROB_Z_GT_4 numeric
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@attribute useless21 numeric
@attribute useless22 numeric
@attribute useless23 numeric
@attribute useless24 numeric
@attribute useless25 numeric
@attribute useless26 numeric
@attribute useless27 numeric
@attribute useless28 numeric
@attribute useless29 numeric
@attribute useless30 numeric
@attribute useless31 numeric
@attribute useless32 numeric
@data
0.059,?,32.4207,2.2302e-06,?,7.6,422,7.83,1835,0,64,0,0.181122,'416135',0.715724475448951,0.643984013935551,0.313682159176096,0.225581953302026,0.349950273521245,0.504476484144107,0.693786103511229,0.784063309896737,0.029838704271242,0.233077363343909,0.840909916907549,0.547609451459721,0.16582668479532,0.988929436774924,0.498328936984763,0.129216284723952,0.749450179748237,0.962574031902477,0.208525607595220,0.7889523813501,0.588279750663787,0.619070253800601,0.610998273361474,0.329888856504112,0.780797994229943,0.763236250262707,0.761436954140663,0.420828242553398,0.830662443535402,0.170739597408101,0.151220691157505,0.361962774302810
1.16,?,41.9671,2.0585e-07,?,10.1,5.34,?,?,?,?,1,0.099199,'279592',0.614340160042048,0.672409135615453,0.342558361357078,0.514841999858618,0.63926250836812,0.151898768963292,0.434613403165713,0.103676191298291,0.0191580257378519,0.280219224747270,0.615995649015531,0.440410941606387,0.362967361696064,0.817427729722112,0.317516866372898,0.509814957389608,0.886832627467811,0.239357125479728,0.33674974180758,0.795537207275629,0.0507284868508577,0.814390956889838,0.239223012235016,0.722014251863584,0.0513538219965994,0.415429363492876,0.530693238368258,0.985781099880114,0.852770599769428,0.265963287791237,0.868817808572203,0.975608713924885
1.547,-1.3593,182.27,1.4244e-05,6.504e-05,35.5,30.69,9.37,239,1,2.048,1,0.0797668,'338895',0.718214438762516,0.464903014479205,0.251019259681925,0.0349051163066179,0.351783507503569,0.741979154292494,0.494080586824566,0.112803993280977,0.767387709813192,0.584316376363859,0.0663852517027408,0.568676733644679,0.98891176795587,0.562063725898042,0.989015516126528,0.599352120887488,0.79396597808227,0.246887515066192,0.447721441043541,0.208762728376314,0.192335866624489,0.985041649313644,0.142306948546320,0.56538445269689,0.00289861881174147,0.347054146928713,0.75774540938437,0.394296329235658,0.969162027584389,0.918863526312634,0.505317311035469,0.235919437604025
1.692,-1.7327,63.3245,3.9593e-06,0.0001098,39.8,284.9,8.92,2444,0,112,1,0.202398,'326115',0.878646650584415,0.703832370229065,0.648532619001344,0.924529759213328,0.420032680733129,0.872637845110148,0.978384485701099,0.667882247595116,0.394128655549139,0.645882125478238,0.354154161876068,0.87752991472371,0.646108926273882,0.523676428478211,0.280934798764065,0.0330055337399244,0.448428470641375,0.098531550494954,0.59698808612302,0.129389823414385,0.75272398116067,0.489136435789987,0.721839976962656,0.337226087925956,0.481253370875493,0.826192683307454,0.352565487846732,0.663613972254097,0.184040926629677,0.233400797471404,0.0190046369098127,0.0126158792991191
3.85,-0.981,128.993,3.254e-06,?,15.2,81.77,8.61,647,1,12.16,0,0.108463,'352648',0.904850878519937,0.96794110443443,0.128916904330254,0.78492145659402,0.0905719315633178,0.50563732534647,0.421208036597818,0.772199795115739,0.410112680867314,0.19141085119918,0.205875299870968,0.190562885487452,0.846828075591475,0.827466105343774,0.729483966715634,0.408207589294761,0.544370898976922,0.0160830037202686,0.0375578403472900,0.267053558491170,0.593526364071295,0.449663761770353,0.818528902716935,0.375702937832102,0.113391045946628,0.539533423027024,0.384684471646324,0.625171607825905,0.8281321588438,0.080127284862101,0.366387854330242,0.0484356901142746
4.109,-1.5604,101.184,1.4903e-05,0.0001171,24,228.48,8.83,554,1,26.88,0,0.154407,'352190',0.165057704551145,0.052152541000396,0.663748347666115,0.6343611353077,0.971150898607448,0.342641201801598,0.61466973903589,0.683044137200341,0.582579004112631,0.169473663438112,0.543731993762776,0.611573767848313,0.161243825219572,0.722484389087185,0.879555497318506,0.0659891173709184,0.598501660395414,0.128512128023431,0.95613116514869,0.395423588110134,0.0114237300585955,0.661081244470552,0.375504511874169,0.921767791267484,0.773134957067668,0.98574076523073,0.862032162724063,0.230060569243506,0.421564509626478,0.703197220573202,0.103683393681422,0.381959382211789
2.296,?,29.6428,4.7567e-07,0.0001794,5.4,8.16,6.59,166,1,1.024,1,0.125147,'178750',0.52943802322261,0.317104607820511,0.230231408029795,0.416004985105246,0.313430621754378,0.0979439846705645,0.94533382426016,0.460452589439228,0.255288538755849,0.198433756828308,0.0145246074534953,0.874360345304012,0.126486385939643,0.162935307947919,0.415230300743133,0.412349040387198,0.913534704130143,0.270127911819145,0.746868040179834,0.194660077337176,0.169965329812840,0.480924014700577,0.160940806847066,0.828476592199877,0.597707682522014,0.0330451249610633,0.59185051638633,0.562772227916867,0.243636707775295,0.627114082686603,0.318657031748444,0.659804091788828
0.6535,-0.864,24.1774,3.5115e-07,2.559e-05,17.5,2.91,11,?,1,0.512,1,0.00434538,'114753',0.767038163496181,0.530696911038831,0.938404927030206,0.727824664674699,0.768710664007813,0.7732037268579,0.928363374667242,0.168429239885882,0.523213116684929,0.482392339734361,0.081718102330342,0.404280617367476,0.484867957653478,0.576727957231924,0.320128756575286,0.518510628025979,0.940132045885548,0.0239406016189605,0.357720610219985,0.623479385860264,0.972922112094238,0.260473839240149,0.751900105504319,0.94034196739085,0.80395032116212,0.925975518068299,0.491627462208271,0.433316014241427,0.181330562802032,0.8925238722004,0.941055920440704,0.12929825251922
2.711,-1.9028,?,4.2985e-06,1.251e-05,44,118.72,8.78,363,1,4.096,1,0.146599,'219101',0.916438611922786,0.221243529347703,0.236307917395607,0.954842442180961,0.436847558477893,0.554610334103927,0.102869399590418,0.0965857815463096,0.439451499609277,0.145658212248236,0.76687846169807,0.380606590071693,0.396028417628258,0.620032967301086,0.432382354047149,0.52088095061481,0.765988146420568,0.516087219351903,0.0453176135197282,0.747288541868329,0.781231658067554,0.327448283089325,0.0300998573657125,0.339315355289727,0.69623223785311,0.778165389318019,0.384256919613108,0.289324009092525,0.419781927252188,0.194205061066896,0.885099454782903,0.50733409402892
2.452,-1.2922,151.459,1.1726e-05,0.000124,78.5,99.76,10.25,260,1,1.024,1,0.128584,'359711',0.648595012258738,0.184834435116500,0.795115696033463,0.935577142052352,0.993259819457307,0.545105911325663,0.137921887915581,0.97054687445052,0.820114146918058,0.577947122976184,0.696331962710246,0.508745118044317,0.680196601431817,0.267549812328070,0.209916512714699,0.29724264331162,0.648482119431719,0.750348827103153,0.957485156366602,0.281332087004557,0.197944156359881,0.825610779691488,0.0108289672061801,0.106270672753453,0.410072607919574,0.220940825296566,0.129020887427032,0.650573656661436,0.126866808859631,0.365797049598768,0.149751598248258,0.467365101212636
2.641,-1.7522,90.0227,2.7375e-06,3.994e-05,36.6,43.89,17.85,4514,0,80,1,0.153451,'302888',0.458612065529451,0.0613538501784205,0.897803299827501,0.988440654007718,0.653685755096376,0.645270943874493,0.641323968535289,0.899484374094754,0.704512029187754,0.469551719492301,0.379931870847940,0.131294465623796,0.850916278548539,0.183051759842783,0.195551843382418,0.209812274435535,0.912279957672581,0.77210592920892,0.177342751994729,0.0810780844185501,0.408348796423525,0.0170765283983201,0.187582204584032,0.320048626046628,0.221658748108894,0.62501116655767,0.720121342455968,0.740946931298822,0.46171412919648,0.203742192359641,0.675430473638698,0.79462336958386
4.6497,-0.8902,44.9122,1.9228e-07,?,13,10.68,8.16,397,1,4.096,0,0.125617,'342121',0.440120536834002,0.0840866414364427,0.2901556417346,0.682901522843167,0.436426756903529,0.296323463786393,0.288760820636526,0.132082548458129,0.552907246630639,0.95864784042351,0.124694375554100,0.91235546162352,0.490432993276045,0.618639440508559,0.216363594168797,0.605986566282809,0.173445735825226,0.222019779030234,0.551649430766702,0.633537660120055,0.413467213744298,0.764534306246787,0.391745949629694,0.203751391498372,0.809001137502491,0.292087367037311,0.0632286856416613,0.864692373899743,0.546662488952279,0.39194833021611,0.205267225159332,0.305044653825462
2.77,-1.0366,?,7.3056e-06,9.527e-05,147.6,33.48,8.08,115,1,0.256,1,0.0565464,'337914',0.929264213657007,0.06156683457084,0.678033513948321,0.565587358782068,0.532118667382747,0.689183674519882,0.387762475758791,0.0598349636420608,0.474390591029078,0.994509294163436,0.143667135853320,0.159521956462413,0.792080939048901,0.994692055275664,0.496365830302238,0.788030444877222,0.961027121637017,0.0455642135348171,0.827393800253049,0.67357524856925,0.184171926928684,0.376582427881658,0.633561069145799,0.601436918135732,0.267854885896668,0.702293044421822,0.610052765347064,0.111644811695442,0.763121975585818,0.0276794536039233,0.832531588850543,0.0885854470543563
4.772,-1.6523,64.5207,2.0753e-06,2.559e-05,23.3,65.1,10.4,928,1,12.16,0,0.227631,'421814',0.645126258023083,0.727626089705154,0.66043308051303,0.181676878128201,0.125534025253728,0.643996336730197,0.922857347177342,0.533393209567294,0.229313218966126,0.104681288357824,0.793605635641143,0.52915804553777,0.845707717351615,0.00444107525981963,0.801750783342868,0.88022172334604,0.495829802937806,0.550608761841431,0.858686289051548,0.0687078246846795,0.80103369988501,0.986031419597566,0.128288103733212,0.588173827854916,0.310111624887213,0.417885607806966,0.758196239592507,0.78722579474561,0.531877007801086,0.457659173756838,0.116223040269688,0.437478104839101
2.58,?,51.8109,1.5737e-06,?,19.8,66.55,?,?,?,?,0,0.153556,'334877',0.689748810837045,0.271049702307209,0.161549448734149,0.224299015710130,0.128779442515224,0.883146090200171,0.171811905456707,0.999554882291704,0.700730367098004,0.0449993007350713,0.459644847549498,0.907875242177397,0.125460557406768,0.556795741897076,0.813168002991006,0.643733901437372,0.74878204986453,0.6110830293037,0.0408592997118831,0.81417858786881,0.694454277167097,0.8303638829384,0.378513221163303,0.444131928961724,0.391911387909204,0.229525559348986,0.655600048135966,0.8275111974217,0.243666850728914,0.778050321154296,0.769058362348005,0.382343240547925
1.497,-1.671,105.029,9.0434e-06,8.937e-05,85.4,261.36,9.85,705,1,12.16,0,0.126068,'263361',0.80136664560996,0.244469580240548,0.389893918531016,0.0801535674836487,0.532049300847575,0.48239364894107,0.8196887280792,0.408701172797009,0.481437018606812,0.0957114708144218,0.386562443338335,0.341418165713549,0.0482217273674905,0.256461982149631,0.376722596585751,0.717229648726061,0.73821412306279,0.476197302807122,0.196397070772946,0.638761494774371,0.467631825711578,0.50126409297809,0.683045718353242,0.0614780529867858,0.383130871225148,0.831112424144521,0.521108007058501,0.591920783743262,0.735922614578158,0.999144811881706,0.5279221823439,0.345597838517278
0.845,-1.26,80.5384,3.2424e-06,6.028e-05,12.6,139.05,8.57,387,1,4.096,1,0.177203,'316534',0.226086746435612,0.150565404677764,0.250523480353877,0.55431765737012,0.966411919798702,0.183081476017833,0.173741489881650,0.123139173723757,0.702847048640251,0.179298848845065,0.135696614161134,0.953141673002392,0.452711008954793,0.716975978575647,0.587071208516136,0.218272675294429,0.575914940796793,0.939421599032357,0.86896211327985,0.349266659235582,0.808421846246347,0.31682647834532,0.79279507137835,0.361510412534699,0.143471845425665,0.951305013149977,0.255646938923746,0.279305297648534,0.911030697170645,0.994173095794395,0.680106595158577,0.987215562490746
0.689,-1.0842,?,5.551e-06,2.176e-05,89.3,62.53,20.32,860,1,1.024,1,0.140844,'324895',0.56514118402265,0.432299100561067,0.106023556087166,0.0204770229756832,0.104237833758816,0.206318081589416,0.893659198656678,0.58726308378391,0.445115551818162,0.884996275417507,0.408115015132353,0.914279101183638,0.430419791024178,0.889841777505353,0.909249924123287,0.656158532714471,0.619774070335552,0.419069236377254,0.852611148031428,0.983195079956204,0.0278961060103029,0.803285649744794,0.274213593453169,0.392946359468624,0.775958376936615,0.922375764232129,0.121648755855858,0.364578149747103,0.00739240273833275,0.346969111124054,0.616928315721452,0.911000847350806
2.03,?,432.891,5.1194e-07,2.395e-05,20.5,15.28,8.51,242,1,1.024,0,0.141504,'176453',0.323627296369523,0.66398860188201,0.600908039370552,0.406878953799605,0.366241151932627,0.545673157321289,0.800741861574352,0.799004601314664,0.420491108438,0.562427225755528,0.807513223960996,0.90282966173254,0.82869187835604,0.257880543824285,0.845389486989006,0.0519906892441213,0.864648730959743,0.814679036149755,0.773005448980257,0.773170384578407,0.359653073828667,0.560668644728139,0.614016636973247,0.683196634054184,0.473687509307638,0.565645912662148,0.786408804357052,0.851137093268335,0.346323646837845,0.53727178578265,0.190496017225087,0.225994472857565
3.076,-1.2316,200.427,3.6249e-06,?,13,49.68,7.64,494,1,16.384,1,0.101077,'375246',0.688710702350363,0.797061401186511,0.95730689051561,0.562409297330305,0.801922084530815,0.449702083365992,0.68418953823857,0.840320550836623,0.191147306002676,0.441490939352661,0.906158960657194,0.296116262674332,0.866444324143231,0.521637947764248,0.535513499751687,0.176969738444313,0.0861926528159529,0.861713772639632,0.551620488287881,0.631385212298483,0.740088855382055,0.873227574396878,0.0131678639445454,0.680280469823629,0.842241164995357,0.0598728151526302,0.382546751992777,0.101024350384250,0.209245057310909,0.490116859786212,0.677592986961827,0.48245118255727
0.422,-1.3283,122.613,4.4233e-06,5.242e-05,19.9,88.2,7.61,1450,0,72,0,0.144508,'148833',0.251991948811337,0.0821658608037978,0.480468564201146,0.585425055585802,0.31701102363877,0.695558684878051,0.654497854178771,0.679939654655755,0.752331043826416,0.915863318834454,0.728442627005279,0.968202058691531,0.188543152995408,0.588508464396,0.0382354769390076,0.168898246483877,0.0882964883930981,0.270583403529599,0.0442600781098008,0.663295448059216,0.0105395379941911,0.419894380262122,0.987393774557859,0.652385578956455,0.789644327480346,0.5130191068165,0.437656801426783,0.975719671230763,0.702806784538552,0.946449462557212,0.311875492800027,0.433124397182837
1.71,-1.5861,71.1226,?,3.886e-05,18.6,14.25,8.05,206,1,1.024,1,0.128117,'148646',0.679112559650093,0.893097061663866,0.421045519411564,0.800149375805631,0.822247991804034,0.957434869604185,0.283617171691731,0.278696285793558,0.300495827570558,0.563292798120528,0.876861379481852,0.702950183069333,0.642813570331782,0.274141771253198,0.950694037601352,0.630892531946301,0.202881900127977,0.435005619423464,0.782227324321866,0.851704944856465,0.79246517457068,0.786282503278926,0.513999293092638,0.552173898788169,0.123796742176637,0.406443304847926,0.923507845727727,0.877206053817645,0.79273224202916,0.609927222598344,0.390755050582811,0.380504637258127
2.1,-1.4359,128.046,1.3558e-05,6.028e-05,80.3,254.28,7.56,187,1,1.024,1,0.158196,'336489',0.764891608152539,0.198529243236408,0.063820609357208,0.0321601007599384,0.449575095670298,0.230371542973444,0.921656119870022,0.370279164751992,0.334152617724612,0.989675919758156,0.68720566155389,0.198767873458564,0.626997551182285,0.00941193150356412,0.492294338066131,0.443427526159212,0.653363382443786,0.362708496628329,0.923665172420442,0.753829832188785,0.306716629071161,0.612685929983854,0.0437394462060183,0.997544722864404,0.367052558111027,0.602772350190207,0.7867427659221,0.126338148955256,0.671509141800925,0.408237471245229,0.20116584491916,0.369532792596146
2.954,-1.7048,107.752,4.2299e-06,2.118e-05,30.4,108.56,10.52,600,1,4.096,1,0.216848,'275087',0.094018649077043,0.128657413879409,0.880902039352804,0.225462802918628,0.00630524940788746,0.525488693034276,0.827447538031265,0.193800803739578,0.35549805383198,0.709436018019915,0.283993291668594,0.414571444503963,0.015834117308259,0.335951176239178,0.924003128893673,0.922792367637157,0.439160054083914,0.279696825891733,0.121842316119000,0.0634142723865807,0.819117439677939,0.103290712693706,0.741078915307298,0.784094010479748,0.179344680160284,0.863972313003615,0.675889258272946,0.772516167955473,0.661228083772585,0.500716311857104,0.868878246285021,0.607635906431824
0.348,?,23.8777,3.6081e-07,9.431e-06,5.4,20.46,14.21,4775,0,128,1,0.0688052,'207399',0.372863362310454,0.503782235318795,0.773331974167377,0.247363615082577,0.522185244364664,0.946869298582897,0.077926303492859,0.963831023778766,0.36265431670472,0.775239396607503,0.291042622178793,0.752565033966675,0.716739916009828,0.917764245299622,0.171925033908337,0.861773255979642,0.0549677307717502,0.715045280288905,0.733709631254897,0.038816443644464,0.745247655315325,0.912107364740223,0.176025568507612,0.928117925068364,0.776016771327704,0.126660879002884,0.0349088639486581,0.773544461000711,0.933577286079526,0.588982003740966,0.0205380183178931,0.79130077175796
4.27,-1.4072,89.4259,4.8363e-06,9.087e-05,21.8,60.2,10,?,1,2.048,0,0.147656,'117504',0.540940126636997,0.424475965090096,0.662541204597801,0.169273947831243,0.519485678058118,0.0810014179442078,0.368401140440255,0.372647008625790,0.978097615763545,0.68842930230312,0.0448698066174984,0.546680721687153,0.318958024028689,0.449576122686267,0.129595252685249,0.67167567065917,0.719476795988157,0.151748527307063,0.114202640950680,0.474378394428641,0.59174521220848,0.351336500141770,0.680080751422793,0.264069820987061,0.00891284528188407,0.161874702898785,0.436545468168333,0.136427288409323,0.481921281199902,0.173896642401814,0.258980033919215,0.896088975248858
6.6,-1.3997,95.3236,2.8779e-06,?,11.5,36,6.58,454,1,16.384,0,0.145486,'177533',0.00931688817217946,0.523526154691353,0.74129415396601,0.768844219623134,0.0592389218509197,0.624758810503408,0.683423661161214,0.619362627156079,0.007801728323102,0.364022719208151,0.688759581185877,0.935151304816827,0.203827558783814,0.767612351803109,0.0610433227848262,0.572810124838725,0.0700630105566233,0.862302854424343,0.606450244318694,0.311362044885755,0.404081437271088,0.0732601028867066,0.644089858280495,0.285361716290936,0.377461451804265,0.324998657917604,0.120637694839388,0.219388796715066,0.888029744615778,0.879039210733026,0.382908569416031,0.222766930703074
3.53,-1.1476,?,1.8733e-06,?,27.4,109.89,10.48,775,1,8.192,0,0.217816,'177408',0.589395149843767,0.289201761595905,0.370461495360360,0.0209321787115186,0.455038081854582,0.334651627810672,0.63158635282889,0.724193364614621,0.0462384151760489,0.313936571590602,0.84317285893485,0.211358271539211,0.0762472255155444,0.70132993045263,0.823797593358904,0.81210135598667,0.497261130949482,0.66887167445384,0.917995919473469,0.462854175129905,0.589875654317439,0.295202402863652,0.516779546625912,0.262869326397777,0.640037829522043,0.853354564169422,0.0165589831303805,0.321449817856774,0.0379163264296949,0.950942961731926,0.308727474883199,0.788932944880798
