@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no ','yes'}
@attribute useless numeric
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@data
6.29,'no ',0,0.645907831378281,0.978855698369443,0.431197604630142,0.937109573045745
3.35,'yes',0,0.150132783921435,0.00215182732790709,0.718019522959366,0.399280256358907
1.1,'yes',0,0.268952701706439,0.87343642464839,0.524573673028499,0.411448019789532
2.433,'yes',0,0.775114077841863,0.323576080612838,0.757729188539088,0.221543441992253
0.606,'yes',0,0.528812197968364,0.0210521225817502,0.412659499095753,0.993042995454744
0.4428,'yes',0,0.47380841197446,0.644124760758132,0.682853950187564,0.150988701963797
1.545,'yes',0,0.312996064545587,0.869834777433425,0.478506103623658,0.170360344927758
0.783,'no ',0,0.9595024229493,0.823094818973914,0.49451193981804,0.671324073337018
4.045,'yes',0,0.868368783500046,0.853673142613843,0.977954074274749,0.619763813214377
0.947,'no ',0,0.679321565199643,0.922048057429492,0.573988563148305,0.977623180719092
3.221,'yes',0,0.73490159213543,0.838479331461713,0.444949437631294,0.19413008634001
2.6147,'yes',0,0.434452711604536,0.757837250130251,0.924560728250071,0.538555725244805
5.6,'no ',0,0.0422752688173205,0.9565078264568,0.946621496696025,0.356141158612445
3.2,'no ',0,0.182058805599809,0.934139170218259,0.524946542223915,0.318301849765703
2.346,'yes',0,0.217563839862123,0.696402979781851,0.619315344607458,0.260926491348073
0.08,'no ',0,0.474795604357496,0.217928561847657,0.867205834714696,0.373553212266415
4.349,'no ',0,0.476811300730333,0.14915572386235,0.388751584338024,0.499433120246977
1.55,'yes',0,0.761690389132127,0.882377984933555,0.714133037952706,0.166234293952584
0.97,'yes',0,0.232504972722381,0.976127456175163,0.426500389352441,0.186666000401601
1.605,'no ',0,0.696643666364253,0.510202453006059,0.919703612336889,0.144529179902747
0.49,'yes',0,0.769018538529053,0.183684228686616,0.71327006421052,0.300003006821498
1.24,'no ',0,0.175150478025898,0.0935162778478116,0.0430176833178848,0.781723968219012
1.29,'no ',0,0.813538557849824,0.386421740986407,0.367940890137106,0.844621635740623
3.082,'yes',0,0.42695437790826,0.626980658853427,0.78537655621767,0.648996743606403
1.03,'yes',0,0.350066702347249,0.913862822111696,0.912588319508359,0.895677238935605
2.45,'no ',0,0.483792779035866,0.386368452804163,0.470005461713299,0.945222306530923
0.971,'yes',0,0.244298807578161,0.382911031832919,0.599040804663673,0.315537131158635
3.24,'yes',0,0.605415127705783,0.247237487928942,0.514894061954692,0.0170300821773708
2.17,'yes',0,0.556172708980739,0.629771333187819,0.67111310036853,0.0209528885316104
4.667,'yes',0,0.032066693296656,0.561106063658372,0.610846001189202,0.367589568486437
2.821,'yes',0,0.356990242144093,0.592801026301458,0.142658810596913,0.302490269066766
0.5915,'no ',0,0.580554165877402,0.761584233725443,0.0343399806879461,0.300470102345571
0.937,'yes',0,0.767963857622817,0.726172162219882,0.9514786824584,0.955131023656577
2.68,'yes',0,0.175702615175396,0.248257324332371,0.0352431025821716,0.161871285643429
3.78,'yes',0,0.252509275451303,0.414389399811625,0.565856357570738,0.00477505964227021
3.375,'yes',0,0.242053240770474,0.841577770421281,0.410975244129077,0.932847138727084
0.836,'yes',0,0.292659802129492,0.77212003711611,0.738268475281075,0.784522409085184
3.355,'no ',0,0.394312595250085,0.100605769548565,0.433621116913855,0.436485067708418
3.626,'yes',0,0.727484079776332,0.747449023183435,0.79558047093451,0.771600839449093
2.641,'yes',0,0.0294062723405659,0.953659357735887,0.213292520726100,0.148397400742397
1.14,'yes',0,0.594766550697386,0.665487201884389,0.884797951672226,0.58582779718563
1.949,'no ',0,0.771143900929019,0.959351452998817,0.326606934657320,0.431864117272198
1.755,'no ',0,0.280934535432607,0.595418378245085,0.879457515431568,0.563456652686
1.44,'yes',0,0.564412618754432,0.223360987147316,0.0144934498239309,0.199871382676065
1.416,'yes',0,0.181847678497434,0.567736074328423,0.587358973920345,0.446637097513303
1.6398,'yes',0,0.563705972395837,0.0396317951381207,0.318268940085545,0.71008086274378
3.036,'yes',0,0.419127367669716,0.975515527185053,0.558237259741873,0.531501880148426
0.54,'yes',0,0.0524886862840503,0.461761177051812,0.717215349897742,0.369998557725921
3.038,'no ',0,0.796918084379286,0.208405114011839,0.882682849653065,0.491666379151866
2.352,'yes',0,0.841521027730778,0.757395702414215,0.441115910420194,0.254232852952555
4.9,'no ',0,0.570119064999744,0.674956442322582,0.706406029174104,0.81175462063402
2.71,'yes',0,0.778850620845333,0.409633859759197,0.734937967732549,0.968239912996069
0.82,'yes',0,0.697483971482143,0.233537136111408,0.928473569452763,0.553210417972878
3.8479,'yes',0,0.115210716379806,0.986283312318847,0.832536268047988,0.825337537797168
2.31,'yes',0,0.929090870311484,0.597870360827073,0.0106227658689022,0.277119422098622
3.91,'no ',0,0.911445735022426,0.554056530352682,0.812933613546193,0.265612793620676
3.44,'no ',0,0.587446694960818,0.159043960040435,0.877489424077794,0.407829559873790
0.0331,'yes',0,0.349823376396671,0.176963439676911,0.36220783716999,0.316180423600599
0.696,'yes',0,0.0503481428604573,0.644039317267016,0.256172074237838,0.826180821983144
2.512,'yes',0,0.21155950659886,0.485106813022867,0.463824268663302,0.834316381486133
0.83,'yes',0,0.83447348489426,0.260169420158491,0.128738322760910,0.345583071000874
1.165,'no ',0,0.0272409208118916,0.939254509517923,0.34340281621553,0.944863159675151
8.1,'no ',0,0.905540810897946,0.433464589063078,0.222988997818902,0.855517325457186
1.608,'yes',0,0.165090418420732,0.864404376596212,0.578369687311351,0.270215476630256
2.04,'yes',0,0.459803121164441,0.59894158388488,0.939063671277836,0.745578969595954
2.752,'yes',0,0.373151225037873,0.699254628038034,0.250968419713899,0.995975887868553
1.092,'no ',0,0.932973600924015,0.732396518345922,0.71003443421796,0.537722681649029
0.54,'yes',0,0.872538310475647,0.64711331622675,0.98708009161055,0.130944694858044
1.71,'yes',0,0.0754501763731241,0.493584854761139,0.458343226229772,0.759011109825224
2.9,'no ',0,0.334558087633923,0.64250195515342,0.474022893700749,0.0897678614128381
5.3,'no ',0,0.241141956765205,0.0318127267528325,0.827904044417664,0.342527215369046
0.937,'yes',0,0.671548612881452,0.147035693051293,0.423104332061484,0.859238259959966
1.95,'yes',0,0.263103861594573,0.00846540927886963,0.0192966179456562,0.341755733359605
1.51,'yes',0,0.443980990676209,0.621837547281757,0.721937468275428,0.94175312295556
0.542,'yes',0,0.0718309371732175,0.88873024797067,0.382419197820127,0.496495035011321
0.544,'yes',0,0.0208238458726555,0.54986973060295,0.435305090388283,0.666653585387394
0.92,'yes',0,0.00140520790591836,0.00460559083148837,0.391576286405325,0.160253041889518
