@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_5 numeric
@attribute PROB_Z_GT_4 numeric
@attribute PROB_Z_GT_3 numeric
@attribute PROB_Z_GT_2 numeric
@attribute PROB_Z_GT_1 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@data
1.18,?,-2.287,?,?,?,2.2253,18,?,?,9.1,189,0.512,0.0203331,0.0586255,0.145546,0.319514,0.719367,'yes','yes',0.801554749021307,0.58752468903549,0.393006317783147,0.799195172032341,0.836081613786519,0.831507719121873,0.238673632033169,0.439405162120238,0.439495873171836,0.380271038273349,0.413559744367376,0.0357793804723769,0.90292990533635,0.693666023900732,0.157673255540431,0.0615649158135056,0.0465419346000999,0.51285148714669,0.126233522780240,0.263381474884227
0.059,?,-2.3481,?,?,?,?,7.6,?,?,7.83,1835,64,0.0892773,0.181122,0.323466,0.506618,0.812567,'no','no',0.835243680747226,0.372910839272663,0.400732155190781,0.787947161355987,0.751034991350025,0.373504048911855,0.513693017885089,0.609385614981875,0.677223379723728,0.646942108403891,0.536568912444636,0.345215209759772,0.068570178700611,0.779076928040013,0.0304464406799525,0.249304438941181,0.559851297875866,0.690288096666336,0.0257704062387347,0.557360888458788
1.16,?,-2.1268,?,?,?,?,10.1,?,?,?,?,?,0.0353661,0.099199,0.232357,0.45406,0.814919,?,'yes',0.881854294566438,0.0484200001228601,0.353784541133791,0.745145668508485,0.896380534628406,0.836527041858062,0.108523733215407,0.226827444741502,0.923434360185638,0.894867588067427,0.92374799749814,0.17867634864524,0.237758358474821,0.529846285702661,0.0316236796788871,0.562991306651384,0.644750644220039,0.542620823020115,0.925053461221978,0.0435246773995459
1.547,-1.3593,?,?,?,6.504e-05,1.7717,35.5,?,?,9.37,239,2.048,0.024325,0.0797668,0.212409,0.459386,0.847845,'yes','yes',0.326136677060276,0.397645378485322,0.0906465570442379,0.548324953531846,0.490247863112018,0.0341939821373671,0.745567384408787,0.951315526850522,0.768408635398373,0.221520291175693,0.436412706272677,0.173648480325937,0.145839516073465,0.371977837989107,0.919681870844215,0.905348617117852,0.138135929359123,0.94503806089051,0.00327277532778680,0.74238039040938
1.692,-1.7327,?,?,?,0.0001098,2.1169,39.8,?,?,8.92,2444,112,0.082864,0.202398,0.408279,0.665804,0.93079,'no','yes',0.00553464540280402,0.834734617266804,0.0216561902780086,0.268064996926114,0.330452942987904,0.512021081289276,0.444816555827856,0.437264683423564,0.112004514085129,0.840337447589263,0.941298221237957,0.377372317248955,0.703085992718115,0.737342009553686,0.143931253580377,0.501052973791957,0.05279945069924,0.909881143132225,0.189421490533277,0.428681945195422
3.85,-0.981,?,?,?,?,1.7634,15.2,?,?,8.61,647,12.16,0.0356824,0.108463,0.265136,0.518273,0.869925,'yes','no',0.94201559200883,0.670151012018323,0.862633527023718,0.0677014593966305,0.846662326017395,0.984589727129787,0.516796906013042,0.447296084370464,0.272119350498542,0.442970941076055,0.297646835446358,0.0476918560452759,0.91678360546939,0.52487142640166,0.0340336568187922,0.666309773921967,0.821026864694431,0.97917052381672,0.087556935613975,0.637206657323986
4.109,-1.5604,?,?,?,0.0001171,2.1406,24,?,?,8.83,554,26.88,0.0577652,0.154407,0.340195,0.604896,0.914813,'yes','no',0.439376028021798,0.728521620854735,0.872630210127681,0.304141376167536,0.0601501348428428,0.0687841018661857,0.96263556019403,0.284990767017007,0.653132084524259,0.385932617820799,0.501318105496466,0.404034100472927,0.893019380047917,0.327699165791273,0.502742661861703,0.0280924167018384,0.646821370348334,0.0365527297835797,0.158217004034668,0.882248351583257
2.296,?,-2.0001,?,?,0.0001794,2.0113,5.4,?,?,6.59,166,1.024,0.0438734,0.125147,0.289047,0.536701,0.870017,'yes','yes',0.310537006705999,0.582897384883836,0.513917895965278,0.452679507201537,0.660545787308365,0.220382535597309,0.760664534755051,0.574509672122076,0.578371125273407,0.63975053280592,0.340248662047088,0.375189185608178,0.350156100001186,0.708754038903862,0.911266347626224,0.864862208254635,0.694407141301781,0.182636827928945,0.959034003317356,0.0918676764704287
0.6535,-0.864,?,?,?,2.559e-05,2.076,17.5,?,?,11,?,0.512,0.00140169,0.00434538,0.0118313,0.0307959,0.12153,'yes','yes',0.931304491125047,0.266587836435065,0.719329483807087,0.436031303601339,0.613643242046237,0.463704401394352,0.91554482281208,0.788552874466404,0.618749150307849,0.716021042084321,0.123688800493255,0.732831039698794,0.0557397021912038,0.0888023027218878,0.946844544727355,0.954962798161432,0.733162799151614,0.303982401266694,0.56679717823863,0.710962453624234
2.711,-1.9028,?,?,?,1.251e-05,2.0368,44,?,?,8.78,363,4.096,0.0611277,0.146599,0.299483,0.519938,0.85878,'yes','yes',0.0205736460629851,0.149479469051585,0.998548067407683,0.998749171150848,0.0793244852684438,0.452012821799144,0.86190900276415,0.49586119572632,0.430033705430105,0.875944265630096,0.0800882510375232,0.576040634419769,0.543467006413266,0.716368165565655,0.757363387849182,0.775553432991728,0.0932913555298,0.83915084367618,0.671941793058068,0.412880883319303
2.452,-1.2922,?,?,?,0.000124,1.8173,78.5,?,?,10.25,260,1.024,0.0439328,0.128584,0.303109,0.566691,0.89404,'yes','yes',0.236021239776164,0.190661694621667,0.970695513533428,0.495852358872071,0.526376940542832,0.531931720674038,0.885247886180878,0.864731164183468,0.68597163259983,0.930046355118975,0.557394819101319,0.239851260557771,0.893390447832644,0.0119371542241424,0.934106247266755,0.295713933417574,0.444524661637843,0.335213850019500,0.181745800189674,0.120345144066960
2.641,-1.7522,?,?,?,3.994e-05,2.2039,36.6,?,?,17.85,4514,80,0.0566354,0.153451,0.338519,0.597887,0.902958,'no','yes',0.255426333285868,0.383779739029706,0.390790081117302,0.304354671854526,0.767171764746308,0.259808873524889,0.69100620271638,0.231338419020176,0.953767890809104,0.617738834349439,0.394962108926848,0.724076773505658,0.827273797243834,0.516557682538405,0.139588488731533,0.792923450935632,0.426500322995707,0.42805301444605,0.896641814149916,0.89619193249382
4.6497,-0.8902,?,?,?,?,2.0445,13,?,?,8.16,397,4.096,0.0477577,0.125617,0.278609,0.515954,0.859135,'yes','no',0.932810798054561,0.938947349088266,0.734055471839383,0.284886319888756,0.0612256608437747,0.147201162297279,0.457109685754403,0.488578799413517,0.648116541327909,0.974470707122236,0.106994564412162,0.702609385829419,0.383271632250398,0.770400441018865,0.444276422960684,0.724218713585287,0.772465051850304,0.689423498464748,0.163397781318054,0.899912519846112
2.77,-1.0366,?,?,?,9.527e-05,2.0069,147.6,?,?,8.08,115,0.256,0.0172983,0.0565464,0.155269,0.36841,0.812793,'yes','yes',0.474532450782135,0.297122220275924,0.158599041868001,0.369407505728304,0.384200787171721,0.292390997987241,0.467476027319208,0.80214905506,0.795867542969063,0.0414987341500819,0.954278687946498,0.144644550047815,0.316323417238891,0.0249326427001506,0.0469661236274987,0.733228353317827,0.472388129448518,0.84856027062051,0.115471014985815,0.138310475274920
4.772,-1.6523,?,?,?,2.559e-05,2.2197,23.3,?,?,10.4,928,12.16,0.0943802,0.227631,0.447391,0.700737,0.938118,'yes','no',0.562872395152226,0.111532868817449,0.869770403252915,0.181079292437062,0.898869838099927,0.586521139601246,0.256619372172281,0.643341638380662,0.117340802447870,0.440028115408495,0.00145252980291843,0.415893130004406,0.494376918766648,0.369404102209955,0.039687953190878,0.015896383440122,0.195547195151448,0.6575668589212,0.845907159382477,0.346686197444797
1.497,-1.671,?,?,?,8.937e-05,2.0101,85.4,?,?,9.85,705,12.16,0.0444502,0.126068,0.293583,0.553367,0.893372,'yes','no',0.304247657768428,0.191958189941943,0.814007342560217,0.100510511314496,0.564329926390201,0.781792557332665,0.0254734221380204,0.566649225540459,0.697479127207771,0.940317258005962,0.757949483348057,0.524169598007575,0.231495480285957,0.569438110105693,0.468181169359013,0.80327186966315,0.169700581813231,0.492807278642431,0.10544504201971,0.292081987019628
0.845,-1.26,?,?,?,6.028e-05,1.9986,12.6,?,?,8.57,387,4.096,0.0672015,0.177203,0.378322,0.640143,0.919468,'yes','yes',0.513042855309322,0.285507406573743,0.92127525084652,0.0983587936498225,0.317494104383513,0.524351140018553,0.511970813386142,0.711695599602535,0.8008388846647,0.845161428907886,0.830114559968933,0.691428523976356,0.867123001487926,0.541599296731874,0.476343093439937,0.68662246176973,0.131976750446483,0.578750133514404,0.536899721249938,0.808988056145608
0.689,-1.0842,?,?,?,2.176e-05,1.9171,89.3,?,?,20.32,860,1.024,0.0511773,0.140844,0.319149,0.585781,0.907877,'yes','yes',0.882024117512628,0.510313909500837,0.285998774459586,0.237702363170683,0.166574554285035,0.161039697472006,0.476717013400048,0.555051119532436,0.80737611791119,0.426208081655204,0.524926126236096,0.647388785611838,0.93349330429919,0.942019259091467,0.503464671783149,0.183565193321556,0.648883019341156,0.60307970107533,0.655797939980403,0.288081338861957
2.03,?,-2.0098,?,?,2.395e-05,2.1024,20.5,?,?,8.51,242,1.024,0.0544613,0.141504,0.306831,0.547973,0.871854,'yes','no',0.796244426630437,0.342774641932920,0.428281583823264,0.625867451308295,0.00189711293205619,0.823294007685035,0.221138479188085,0.231681723380461,0.512901432579383,0.0507941802497953,0.296912062214687,0.602489796932787,0.964259287109599,0.422695492394269,0.71960804099217,0.970126167405397,0.877088756999,0.174314983421937,0.0875293407589197,0.257788261631504
2.145,-1.0514,?,?,?,3.638e-05,1.7495,100.3,?,?,22.19,1245,0.512,0.00907489,0.0362426,0.114982,0.30185,0.731597,'yes','no',0.303209121804684,0.0972638064995408,0.161836881190538,0.250205438584089,0.441985074896365,0.155753748258576,0.477628196123987,0.394822428934276,0.333260980434716,0.532555847195908,0.921796389855444,0.842774165561423,0.586644672555849,0.653027377091348,0.00823948928155005,0.740827490575612,0.380245902342722,0.724950466537848,0.697161515941843,0.497487982036546
0.422,-1.3283,?,?,?,5.242e-05,1.9686,19.9,?,?,7.61,1450,72,0.0512637,0.144508,0.328505,0.591575,0.90218,'no','no',0.157004106324166,0.197382232639939,0.79465150507167,0.0695188399404287,0.00361106614582241,0.392876693047583,0.818022205261514,0.328186064492911,0.641826938604936,0.908949942793697,0.934181274147704,0.36787086375989,0.71141991019249,0.161330658476800,0.118735147872940,0.985755369765684,0.126914843916893,0.260360775049776,0.681315934285522,0.682166514452547
1.71,-1.5861,?,?,?,3.886e-05,1.8295,18.6,?,?,8.05,206,1.024,0.0443109,0.128117,0.298919,0.556056,0.884128,'yes','yes',0.570727496873587,0.309057508129627,0.65842746058479,0.631503488402814,0.963110989658162,0.991962957428768,0.279765632702038,0.562471029348671,0.190669551724568,0.44980809581466,0.363289602799341,0.391147687798366,0.641284469515085,0.107903621392325,0.263544095214456,0.606022362830117,0.196305817691609,0.262456590076908,0.536239633103833,0.990622537443414
2.1,-1.4359,?,?,?,6.028e-05,2.0223,80.3,?,?,7.56,187,1.024,0.0575577,0.158196,0.353578,0.625533,0.919728,'yes','yes',0.820870291208848,0.174988878425211,0.846071187173948,0.905696096131578,0.155931098386645,0.819481590762734,0.326794223161414,0.913397883530706,0.73443308705464,0.499024465680122,0.102830947609618,0.487654164899141,0.242126151919365,0.406847288366407,0.0629529647994787,0.289658857276663,0.463400421664119,0.70029560290277,0.727393204113469,0.641047231387347
2.954,-1.7048,?,?,?,2.118e-05,2.0629,30.4,?,?,10.52,600,4.096,0.0875329,0.216848,0.4362,0.695007,0.938412,'yes','yes',0.770108451601118,0.604805901413783,0.438015812076628,0.0793016240932047,0.951861300040036,0.344590988475829,0.202086315257475,0.0772031138185412,0.545171410776675,0.655836932593957,0.114727135049179,0.968740816693753,0.116411959985271,0.888790862401947,0.123280000407249,0.257231516996399,0.585175276733935,0.337139234412462,0.644245291827247,0.165274797705933
0.348,?,-3.073,?,?,9.431e-06,1.9209,5.4,?,?,14.21,4775,128,0.027668,0.0688052,0.150119,0.29503,0.673159,'no','yes',0.500626734225079,0.084022318944335,0.896817417116836,0.768829576903954,0.673289116472006,0.538827476790175,0.398704323219135,0.213714890182018,0.709131001029164,0.412011225474998,0.268835607217625,0.89646877371706,0.760730933398008,0.888297435361892,0.390686413971707,0.237458425341174,0.139402969041839,0.417163915466517,0.514468115288764,0.787401571171358
4.27,-1.4072,?,?,?,9.087e-05,2.0258,21.8,?,?,10,?,2.048,0.0523922,0.147656,0.334419,0.597405,0.903208,'yes','no',0.582867658464238,0.120697485515848,0.109233513241634,0.58146006683819,0.71318808500655,0.176760758273304,0.768317960901186,0.621754243737087,0.697462770855054,0.96520497277379,0.0373218159656972,0.215905793244019,0.834005647338927,0.965581913478673,0.800631507765502,0.322300295811146,0.727830386487767,0.611926650861278,0.160559355746955,0.0993110032286495
6.6,-1.3997,?,?,?,?,2.1942,11.5,?,?,6.58,454,16.384,0.0518948,0.145486,0.328473,0.588253,0.898535,'yes','no',0.582322035450488,0.263756925240159,0.549435555469245,0.204675044864416,0.787617962574586,0.902768468949944,0.99423408252187,0.985218475107104,0.7892276418861,0.537639115937054,0.953056369908154,0.615876955911517,0.730496970238164,0.821401247289032,0.164910464547575,0.584609873127192,0.619394112378359,0.116231683176011,0.267954471288249,0.874529012711719
3.53,-1.1476,?,?,?,?,2.1864,27.4,?,?,10.48,775,8.192,0.0910875,0.217816,0.430556,0.686339,0.934499,'yes','no',0.376355200773105,0.0903861159458756,0.724227623082697,0.594768673414364,0.23546026321128,0.918185291113332,0.359564835671335,0.1171426451765,0.205488489475101,0.747592134168372,0.592826590873301,0.923187952721491,0.225686722202227,0.085760074434802,0.147317842114717,0.508725825231522,0.292546701384708,0.157163214869797,0.361883635865524,0.639321264345199
0.767,-1.7404,?,?,?,4.772e-05,2.0446,52.7,?,?,10.83,262,0.512,0.0354683,0.10734,0.261613,0.510469,0.86172,'yes','yes',0.964620248880237,0.903794545680285,0.94386534160003,0.146570536773652,0.634329242166132,0.586621644208208,0.844767811242491,0.477645587176085,0.095829039812088,0.126172474352643,0.164201996987686,0.852201238973066,0.525188702624291,0.523773292312399,0.339207438752055,0.0109430791344494,0.546099050436169,0.0422626952640712,0.241155401337892,0.283869999926537
0.5295,-1.3529,?,?,?,3.431e-05,2.1188,19.6,?,?,9.43,221,1.024,0.00895126,0.0255989,0.0642216,0.150126,0.478981,'yes','yes',0.843706753104925,0.623894842108712,0.874924970557913,0.439104539109394,0.170249263290316,0.326031422475353,0.513520040782169,0.987935828976333,0.289163321256638,0.866536747431383,0.95388141949661,0.155684057390317,0.967836401192471,0.375816667452455,0.809943563072011,0.209520334145054,0.170839145081118,0.487625076435506,0.275029191514477,0.100807984359562
1.9685,-1.3028,?,?,?,4.207e-05,2.0758,50.7,?,?,10,382,2.048,0.0834827,0.206132,0.418599,0.682072,0.938463,'yes','yes',0.841216038446873,0.591249821940437,0.74125573784113,0.033273883163929,0.418368806364015,0.343536840053275,0.0204534225631505,0.200835642172024,0.446962813381106,0.824878488201648,0.845016592880711,0.53054822399281,0.899470220785588,0.120432241121307,0.127600965090096,0.496889542555436,0.570137019269168,0.186790979234502,0.00363050377927721,0.647789982846007
0.714,-1.0884,?,?,?,?,1.652,12.5,?,?,10.59,323,1.024,0.0133067,0.0488872,0.143924,0.347768,0.762541,'yes','no',0.116924678673968,0.65482565923594,0.879133271751925,0.276312860427424,0.221115838270634,0.703072020318359,0.719788278453052,0.83640891010873,0.0270161994267255,0.589469800470397,0.0594885749742389,0.753440391272306,0.00965129886753857,0.531764318468049,0.318811378208920,0.0873542451299727,0.588002953212708,0.0435630998108536,0.582021585898474,0.438251622952521
3.35,-1.3129,?,?,?,4.212e-05,2.1127,57.9,?,?,7.59,196,1.024,0.0560711,0.154869,0.346069,0.612214,0.911683,'yes','yes',0.253923324402422,0.979583844309673,0.228386764181778,0.66988430172205,0.589216692140326,0.812108404934406,0.0353435550350696,0.0830455587711185,0.651312780333683,0.651649679290131,0.268605631077662,0.786423946497962,0.303771451115608,0.874785107094795,0.0682641612365842,0.00910572311840951,0.102852045558393,0.74802933819592,0.481130736414343,0.525222778320312
3.082,-1.0137,?,?,?,0.0001379,1.623,50.7,?,?,14.77,490,1.024,0.0636628,0.17201,0.374006,0.6393,0.919891,'yes','yes',0.610670597758144,0.290967897279188,0.717452928191051,0.0916185567621142,0.90072494209744,0.724862107774243,0.708451265934855,0.74538740538992,0.0468257288448513,0.457016393076628,0.426863274071366,0.330460797529668,0.521177901886404,0.103390716249123,0.344507865607738,0.57045143051073,0.460120648611337,0.901434098370373,0.394654884003103,0.0258885412476957
3.969,-1.3747,?,?,?,0.0002541,1.6063,13.2,?,?,10.96,1019,12.16,0.0654957,0.174661,0.376063,0.639687,0.920021,'yes','yes',0.8692646343261,0.812047265702859,0.38682581554167,0.492753211408854,0.814228401053697,0.90269697830081,0.0849671510513872,0.708699973067269,0.740438213804737,0.0374736918602139,0.963810791959986,0.139654073631391,0.215108313597739,0.279244609177113,0.129833372542635,0.693930925568566,0.698857347713783,0.0679924245923758,0.601098658982664,0.673897825181484
0.624,?,-2.0605,?,?,1.147e-05,1.9581,13.3,?,?,7.06,177,1.024,0.0380973,0.103983,0.238602,0.460428,0.82205,'yes','yes',0.0538263104390353,0.226268860977143,0.38504976243712,0.743881679372862,0.314325030893087,0.80453318846412,0.626468170434237,0.977202625246719,0.781210941495374,0.795974997105077,0.219925422687083,0.910306024365127,0.144421480363235,0.096292726462707,0.544634485850111,0.192007275996730,0.0800746884196997,0.454651769250631,0.953278100350872,0.616207731422037
1.37,-1.7718,?,?,?,2.256e-05,2.1949,14.3,?,?,11.42,236,0.512,0.0260667,0.0804666,0.203206,0.423225,0.804554,'yes','yes',0.00381212192587554,0.269456012640148,0.5961276977323,0.241385643370450,0.889763423474506,0.99813411035575,0.170838140649721,0.79198144422844,0.326311158249155,0.279219306074083,0.199419561075047,0.311270256293938,0.832347877556458,0.337987966369838,0.891828115098178,0.604344613617286,0.391211515059695,0.342248551314697,0.781006910838187,0.0516344958450645
1.063,-1.284,?,?,?,5.425e-05,2.1102,29.5,?,?,9.31,168,1.024,0.0105411,0.0332424,0.0889787,0.214785,0.621131,'yes','yes',0.460344800492749,0.517355627845973,0.646599021507427,0.845570474630222,0.436122429789975,0.187222117790952,0.690300586633384,0.305111741181463,0.579569815425202,0.281836505047977,0.47165808500722,0.537097946507856,0.476587562356144,0.818683113437146,0.197629905305803,0.802095938008279,0.864472019020468,0.512721965555102,0.435692230938002,0.317220204742625
1.71,-1.2432,?,?,?,7.828e-05,2.1489,55.8,?,?,17.7,520,1.024,0.0341287,0.103873,0.258009,0.516716,0.875929,'yes','yes',0.333768705837429,0.997778922319412,0.26408859831281,0.591407131636515,0.672703619580716,0.615575006464496,0.99890909716487,0.837907528039068,0.669072306947783,0.911336187971756,0.177403501002118,0.895778466016054,0.649857650976628,0.517189339501783,0.290532305138186,0.966910862596706,0.472132412716746,0.419694731710479,0.889956121332943,0.305271379416808
0.98,?,-2.1079,?,?,?,2.2627,7.5,?,?,7.17,374,4.096,0.0378806,0.104866,0.242588,0.468589,0.830227,'yes','no',0.889805614715442,0.165791669161990,0.342613568529487,0.642895015655085,0.698550322558731,0.333231358788908,0.743802773067728,0.820515115745366,0.706283194478601,0.99100583884865,0.65067810867913,0.39041978912428,0.0219239494763315,0.37773717707023,0.806845722720027,0.27280183439143,0.587264882400632,0.608858010033146,0.221163771348074,0.98623674805276
4.813,?,-2.0298,?,?,1.327e-05,2.0006,15.2,?,?,7.73,1502,64,0.0811021,0.194801,0.390114,0.637478,0.910938,'no','no',0.686286590062082,0.517775011481717,0.384757558582351,0.752300626132637,0.162679811008275,0.828436993062496,0.800260653486475,0.508061326108873,0.465598607435822,0.338835135102272,0.701269541168585,0.927761440398172,0.109418876469135,0.658693685429171,0.182206914061680,0.210069120628759,0.477023888612166,0.201233800966293,0.298819351708516,0.213935552863404
3.076,-1.2316,?,?,?,?,2.1504,13,?,?,7.64,494,16.384,0.0327805,0.101077,0.250977,0.499725,0.859265,'yes','yes',0.106270841788501,0.734672751277685,0.271131919696927,0.214658884797245,0.364189485553652,0.307340142317116,0.529523785924539,0.653406374854967,0.226222037104890,0.116867994889617,0.743769685737789,0.70544131891802,0.64035321562551,0.146567838499323,0.876609274419025,0.901890190318227,0.475651804124936,0.867477489169687,0.544994744937867,0.18708639126271
1.314,-1.3748,?,?,?,8.25e-05,1.9035,273.8,?,?,8.08,110,0.256,0.00845137,0.0321642,0.101671,0.281812,0.751098,'yes','yes',0.562904647085816,0.94420043262653,0.63434299826622,0.978028330719098,0.145251439185813,0.477394913556054,0.315239045303315,0.64928037696518,0.443275177385658,0.741196961607784,0.184384532971308,0.391369491582736,0.021933039650321,0.253256976604462,0.111258205259219,0.560296701733023,0.60588218155317,0.128034527180716,0.0897652611602098,0.874364888761193
1.159,-1.1593,?,?,?,6.159e-05,1.8631,85.7,?,?,8.76,219,1.024,0.0181931,0.064142,0.18017,0.408481,0.811606,'yes','yes',0.958350242581218,0.925975914346054,0.863336285809055,0.607175521785393,0.476210487540811,0.211781103629619,0.631529001053423,0.138942213263363,0.98734023864381,0.903346783481538,0.993740541860461,0.191254018107429,0.877185489749536,0.304231297690421,0.899698166642338,0.976988791720942,0.956344558857381,0.158738791709766,0.558208121685311,0.424568875459954
