@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute MAX_SNR numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_is_rate_trig_binary numeric
@attribute bat_trigger_dur numeric
@attribute uvot_detection_binary numeric
@attribute PROB_Z_GT_4 numeric
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@data
0.059,?,32.4207,2.2302e-06,?,7.6,422,7.83,1835,0,64,0,0.181122,'416135',0.451373617164791,0.111145821632817,0.268123832065612,0.494828644441441,0.600791139993817,0.0170160767156631,0.237727264640853,0.785405331291258,0.108301830012351,0.331683371448889,0.798342432361096,0.666811202885583,0.64821410132572,0.541334179928526,0.00373301259241998,0.666664286982268
1.16,?,41.9671,2.0585e-07,?,10.1,5.34,?,?,?,?,1,0.099199,'279592',0.451988881686702,0.777271867264062,0.961790329776704,0.418011539150029,0.3944417971652,0.910902204690501,0.9992267168127,0.279787898994982,0.399388595717028,0.270668786019087,0.306169989984483,0.571391797158867,0.693397323135287,0.705646758899093,0.0975931577850133,0.714668376604095
1.547,-1.3593,182.27,1.4244e-05,6.504e-05,35.5,30.69,9.37,239,1,2.048,1,0.0797668,'338895',0.0764028183184564,0.841445237165317,0.303614211734384,0.807531807105988,0.449364389758557,0.815604554954916,0.411613313714042,0.315602070186287,0.58967931708321,0.193300545448437,0.0662195587065071,0.619550719158724,0.499730648472905,0.140498626278713,0.185971031198278,0.643924873089418
1.692,-1.7327,63.3245,3.9593e-06,0.0001098,39.8,284.9,8.92,2444,0,112,1,0.202398,'326115',0.462506649782881,0.585407559527084,0.50990323186852,0.321620870148763,0.339273394318298,0.496260786429048,0.59609328280203,0.174265954410657,0.831188425887376,0.340207659406587,0.598438110202551,0.532291231909767,0.781094565754756,0.140632943483070,0.298890861682594,0.924382343655452
3.85,-0.981,128.993,3.254e-06,?,15.2,81.77,8.61,647,1,12.16,0,0.108463,'352648',0.0106055694632232,0.439376700203866,0.0108577043283731,0.900677839992568,0.862092465627939,0.0238676560111344,0.0268760863691568,0.424689497565851,0.647579157957807,0.226121509214863,0.636406301520765,0.62683832529001,0.175109195755795,0.359413025667891,0.714279357343912,0.577764649409801
4.109,-1.5604,101.184,1.4903e-05,0.0001171,24,228.48,8.83,554,1,26.88,0,0.154407,'352190',0.487279647262767,0.424586632987484,0.4510214519687,0.930579020641744,0.500985692953691,0.292120118159801,0.658980679232627,0.211385606322438,0.382784514222294,0.0916999655310065,0.246569395298138,0.87143289274536,0.851688385708258,0.079337056260556,0.98552490118891,0.864225538214669
2.296,?,29.6428,4.7567e-07,0.0001794,5.4,8.16,6.59,166,1,1.024,1,0.125147,'178750',0.240915017435327,0.807791136205196,0.560615443158895,0.102270635077730,0.95134734758176,0.735691101057455,0.0946079664863646,0.720954034244642,0.233137926785275,0.0565603212453425,0.56327653164044,0.981874922057614,0.292698291828856,0.302996224490926,0.126627425896004,0.609199615428224
0.6535,-0.864,24.1774,3.5115e-07,2.559e-05,17.5,2.91,11,?,1,0.512,1,0.00434538,'114753',0.297197481617332,0.955035919323564,0.180129736894742,0.993221928365529,0.948660439578816,0.359267503488809,0.889737233752385,0.619061313336715,0.90590253425762,0.335432753665373,0.435472164303064,0.496320284903049,0.282169349025935,0.671479475451633,0.781250443775207,0.995879829628393
2.711,-1.9028,?,4.2985e-06,1.251e-05,44,118.72,8.78,363,1,4.096,1,0.146599,'219101',0.915493871085346,0.746669984422624,0.347955590579659,0.0977712511084974,0.426130294334143,0.295820499770343,0.0359385376796126,0.373011533170938,0.206211347365752,0.383982174098492,0.303891075309366,0.000860635191202164,0.607066519092768,0.625130866188556,0.981201226823032,0.172714487882331
2.452,-1.2922,151.459,1.1726e-05,0.000124,78.5,99.76,10.25,260,1,1.024,1,0.128584,'359711',0.274407070828602,0.0759535485412925,0.75600959546864,0.344085734104738,0.457808204460889,0.644457793328911,0.693542522843927,0.718085488537326,0.517650129273534,0.399727259995416,0.315368792973459,0.596716386498883,0.456048241583630,0.972111271461472,0.128572605084628,0.897887948201969
2.641,-1.7522,90.0227,2.7375e-06,3.994e-05,36.6,43.89,17.85,4514,0,80,1,0.153451,'302888',0.648127712775022,0.855190317612141,0.553725054021925,0.319669954013079,0.633079434046522,0.639575193403289,0.829557697288692,0.0683473420795053,0.680330636678264,0.8090598389972,0.671738213393837,0.0870804726146162,0.256438645534217,0.933006005827338,0.335101005854085,0.767475567525253
4.6497,-0.8902,44.9122,1.9228e-07,?,13,10.68,8.16,397,1,4.096,0,0.125617,'342121',0.330196481198072,0.0656515795271844,0.99707256234251,0.411070545902476,0.690641646040604,0.963777027092874,0.505718976492062,0.106426880462095,0.667339770589024,0.329115133499727,0.79393645375967,0.287765314802527,0.622242267709225,0.308900554897264,0.685764535795897,0.349193810718134
2.77,-1.0366,?,7.3056e-06,9.527e-05,147.6,33.48,8.08,115,1,0.256,1,0.0565464,'337914',0.436168680666015,0.295693131163716,0.864292089361697,0.845632982207462,0.229086719686165,0.92465889477171,0.252421974902973,0.704767734045163,0.575958287576213,0.545089452760294,0.685722863534465,0.42427018051967,0.297086040722206,0.540694689378142,0.689034380251542,0.171237026108429
4.772,-1.6523,64.5207,2.0753e-06,2.559e-05,23.3,65.1,10.4,928,1,12.16,0,0.227631,'421814',0.0117596511263400,0.775837576249614,0.813795627094805,0.459258996415883,0.292841418646276,0.950572086498141,0.567375912098214,0.773946427972987,0.353995918994769,0.594485583715141,0.332111253868788,0.894352031871676,0.717102268245071,0.461183352628723,0.09052122104913,0.0687372614629567
2.58,?,51.8109,1.5737e-06,?,19.8,66.55,?,?,?,?,0,0.153556,'334877',0.0994735907297581,0.367907375795767,0.499081237940118,0.372598034329712,0.416125833289698,0.703544579213485,0.429877148242667,0.371849295217544,0.144617422251031,0.896355889039114,0.409583134111017,0.847437492804602,0.410699411062524,0.00343611533753574,0.686932514188811,0.545560792321339
1.497,-1.671,105.029,9.0434e-06,8.937e-05,85.4,261.36,9.85,705,1,12.16,0,0.126068,'263361',0.853279450675473,0.830034774495289,0.325842103688046,0.30338236852549,0.351975233061239,0.072267712559551,0.916241925908253,0.294685180764645,0.487619884079322,0.00338465068489313,0.643419600790367,0.812059019925073,0.81418838398531,0.950504668289796,0.235127950087190,0.198037043213844
0.845,-1.26,80.5384,3.2424e-06,6.028e-05,12.6,139.05,8.57,387,1,4.096,1,0.177203,'316534',0.434761923504993,0.948829378932714,0.123608062276617,0.501648615114391,0.285601705545560,0.948972119018435,0.871051012305543,0.374300590716302,0.0582576740998775,0.296882377006114,0.216456720372662,0.680194705259055,0.70634351298213,0.840173981850967,0.494980227202177,0.0676968896295875
0.689,-1.0842,?,5.551e-06,2.176e-05,89.3,62.53,20.32,860,1,1.024,1,0.140844,'324895',0.245023401919752,0.323331063613296,0.616318333195522,0.845652990043163,0.867472748970613,0.508077638922259,0.39737234567292,0.532015963457525,0.174827706301585,0.0263459302950650,0.690834384178743,0.130674194777384,0.67886263388209,0.192531893961132,0.448365596588701,0.531929397722706
2.03,?,432.891,5.1194e-07,2.395e-05,20.5,15.28,8.51,242,1,1.024,0,0.141504,'176453',0.603776870528236,0.0979468829464167,0.459090871969238,0.900312889600173,0.427522658836097,0.0235254042781889,0.0480786054395139,0.943507025251165,0.99641601019539,0.357387809082866,0.0330841238610446,0.43550457758829,0.467695278348401,0.7291299989447,0.830772258574143,0.425405719550326
3.076,-1.2316,200.427,3.6249e-06,?,13,49.68,7.64,494,1,16.384,1,0.101077,'375246',0.531439086189494,0.652104446431622,0.0175967030227184,0.301690160064027,0.321175609482452,0.808000114513561,0.765410644002259,0.673762443242595,0.165199662093073,0.100960787385702,0.193434499436989,0.0729857746046036,0.566409759456292,0.925583087140694,0.258186154998839,0.765751883853227
0.422,-1.3283,122.613,4.4233e-06,5.242e-05,19.9,88.2,7.61,1450,0,72,0,0.144508,'148833',0.938173606293276,0.611420613946393,0.233199625276029,0.115190559532493,0.292828251840547,0.604816685430706,0.398508364567533,0.88569002202712,0.677984935464337,0.490589481545612,0.291564118815586,0.180797250242904,0.658878204179928,0.809525482589379,0.258443931117654,0.806465639732778
1.71,-1.5861,71.1226,?,3.886e-05,18.6,14.25,8.05,206,1,1.024,1,0.128117,'148646',0.682883712928742,0.283151085954159,0.0308208602946252,0.215879599563777,0.723423815565184,0.746350867673755,0.904214933514595,0.856974789872766,0.436274050269276,0.137453626841307,0.118389190873131,0.596139178145677,0.348391869338229,0.240640104748309,0.288470291998237,0.835841410094872
2.1,-1.4359,128.046,1.3558e-05,6.028e-05,80.3,254.28,7.56,187,1,1.024,1,0.158196,'336489',0.874648433411494,0.178928964771330,0.769252434372902,0.672149922698736,0.528105907374993,0.519508956233039,0.78844923665747,0.437199917854741,0.453649853356183,0.8965866623912,0.474282642826438,0.299180394969881,0.144674460869282,0.428273143479601,0.622907129116356,0.69913527672179
2.954,-1.7048,107.752,4.2299e-06,2.118e-05,30.4,108.56,10.52,600,1,4.096,1,0.216848,'275087',0.655411688843742,0.565750512294471,0.495959936873987,0.56053019920364,0.561021578731015,0.993029268458486,0.6816302142106,0.0363952892366797,0.0228232678491622,0.372346341609955,0.646635310957208,0.639587813057005,0.834642355330288,0.396667351713404,0.34204713255167,0.78684153361246
0.348,?,23.8777,3.6081e-07,9.431e-06,5.4,20.46,14.21,4775,0,128,1,0.0688052,'207399',0.99405694170855,0.96165005210787,0.678478763904423,0.336615612730384,0.187159324297681,0.130658823298290,0.324025930836797,0.330381154082716,0.345604683505371,0.394552397308871,0.502242576563731,0.945021503604949,0.741485045058653,0.597168951062486,0.598468720680103,0.259825507877395
4.27,-1.4072,89.4259,4.8363e-06,9.087e-05,21.8,60.2,10,?,1,2.048,0,0.147656,'117504',0.378750859526917,0.741228336235508,0.650809671496972,0.82422150648199,0.822182472562417,0.401090614264831,0.455412438604981,0.161802377086133,0.874785712454468,0.604989073937759,0.353427074849606,0.271232626168057,0.460215117549524,0.986961557762697,0.174387256149203,0.656559923663735
6.6,-1.3997,95.3236,2.8779e-06,?,11.5,36,6.58,454,1,16.384,0,0.145486,'177533',0.268194959266111,0.738081444986165,0.734605111414567,0.331743185641244,0.0891676270402968,0.748301244806498,0.663140419870615,0.683166441274807,0.728022762108594,0.221130274003372,0.607064946787432,0.351242612116039,0.998943742364645,0.272653099847957,0.0285815310198814,0.512773622991517
3.53,-1.1476,?,1.8733e-06,?,27.4,109.89,10.48,775,1,8.192,0,0.217816,'177408',0.179808944929391,0.594604283338413,0.826093119336292,0.968199449125677,0.611451456323266,0.609303334960714,0.365213700104505,0.229672079440206,0.275331429438666,0.0443769963458180,0.465663675451651,0.359323495998979,0.705223618540913,0.910896605346352,0.564071849919856,0.752940804697573
0.767,-1.7404,113.124,1.8591e-06,4.772e-05,52.7,16.2,10.83,262,1,0.512,1,0.10734,'310613',0.433937905356288,0.357556253671646,0.895101805916056,0.988214642740786,0.319477564888075,0.916435311781242,0.619100397219881,0.62898911954835,0.6549289484974,0.557657285360619,0.619661373551935,0.735501952236518,0.872915025101975,0.200384952593595,0.524474780308083,0.487427869113162
0.5295,-1.3529,35.3059,5.9087e-07,3.431e-05,19.6,5.55,9.43,221,1,1.024,1,0.0255989,'330856',0.773815389256924,0.0186791131272912,0.0168728134594858,0.431716901250184,0.472005658084527,0.751793691888452,0.202472003176808,0.302779408870265,0.198070466984063,0.0347927317488939,0.705787427257746,0.207632286008447,0.240797070553526,0.617920992197469,0.338562289485708,0.874953776597977
2.4996,-1.3456,124.439,5.22e-06,?,13.5,112.21,6.76,419,1,12.16,1,0.162741,'280706',0.487424063496292,0.0444051041267812,0.631340675521642,0.348432211671025,0.114873972488567,0.150551743106917,0.325490874238312,0.138761935988441,0.159230118850246,0.63945752568543,0.629256068263203,0.144667207729071,0.605404990725219,0.381427191197872,0.281595137203112,0.0450395273510367
1.9685,-1.3028,?,5.6132e-06,4.207e-05,50.7,199.32,10,382,1,2.048,1,0.206132,'331093',0.763332789298147,0.589412896661088,0.201804669573903,0.764016457600519,0.974631924880669,0.279901097295806,0.277615282684565,0.822390120010823,0.871076107257977,0.715593909146264,0.449540282133967,0.594939745496958,0.323461498133838,0.662679788423702,0.361261748243123,0.751021662726998
0.714,-1.0884,92.025,4.4323e-07,?,12.5,4.3,10.59,323,1,1.024,0,0.0488872,'174738',0.299300959799439,0.95515061286278,0.922964293742552,0.155212807003409,0.761284486856312,0.98454080056399,0.154132074676454,0.134577204938978,0.918069077190012,0.534833892947063,0.593509733909741,0.702895587543026,0.314458584412932,0.906374326208606,0.128953210078180,0.544086701236665
3.35,-1.3129,174.457,9.7053e-06,4.212e-05,57.9,453.15,7.59,196,1,1.024,1,0.154869,'319584',0.667757818941027,0.836652063764632,0.285011884989217,0.339491864899173,0.188187059713528,0.00831315014511347,0.00595360435545444,0.383365290239453,0.254924983484671,0.130444076377898,0.610915896715596,0.988774099387228,0.408138697734103,0.373843274079263,0.0540470345877111,0.740081271156669
3.969,-1.3747,110.99,2.6093e-06,0.0002541,13.2,60.48,10.96,1019,1,12.16,1,0.174661,'148225',0.849234150256962,0.99724591197446,0.648735927650705,0.000593239907175303,0.735906033311039,0.390295066637918,0.70310910907574,0.899762934306636,0.169115845812485,0.428923368221149,0.756816168082878,0.751989237964153,0.0928497770801187,0.444089265773073,0.794778428273275,0.699485224438831
0.624,?,25.9683,4.777e-07,1.147e-05,13.3,9.63,7.06,177,1,1.024,1,0.103983,'419797',0.917397067183629,0.0278498700354248,0.874178088037297,0.420034481910989,0.230497227516025,0.300646097632125,0.512171653565019,0.829745953669772,0.744094070512801,0.583440586226061,0.171021606540307,0.483509191311896,0.323583908844739,0.176578861661255,0.152563418727368,0.47101888153702
1.37,-1.7718,?,4.936e-07,2.256e-05,14.3,18.36,11.42,236,1,0.512,1,0.0804666,'370846',0.506183280842379,0.662262275116518,0.196115000639111,0.0223755561746657,0.523930795956403,0.427858211332932,0.348703865893185,0.749497273704037,0.785581775708124,0.302989176707342,0.812835440039635,0.15918502304703,0.058096180902794,0.0475332054775208,0.28404896450229,0.179337172070518
4.813,?,268.926,5.3188e-07,1.327e-05,15.2,31.72,7.73,1502,0,64,0,0.194801,'414592',0.638613958377391,0.239492573542520,0.0605679857544601,0.207038335036486,0.706685348181054,0.109201445244253,0.560996660962701,0.695955594535917,0.66298927552998,0.281200843863189,0.931935902219266,0.117347171762958,0.334585051517934,0.336580177070573,0.912950131576508,0.522659307112917
1.314,-1.3748,230.426,2.792e-05,8.25e-05,273.8,83,8.08,110,1,0.256,1,0.0321642,'239899',0.879322471097112,0.658432913012803,0.630228059133515,0.556712137535214,0.80065063200891,0.518263070378453,0.226789662847295,0.564817891689017,0.810270714340732,0.295870713656768,0.0440813454333693,0.758169974433258,0.911144212586805,0.576929879374802,0.244199860375375,0.877449743682519
1.159,-1.1593,223.072,1.3868e-05,6.159e-05,85.7,26.78,8.76,219,1,1.024,1,0.064142,'240766',0.229419313138351,0.645094590261579,0.589171070372686,0.440219407435507,0.0582925844937563,0.610723044723272,0.203647089656442,0.659322965657339,0.497368946904317,0.756593266036361,0.174184828530997,0.455190449720249,0.376280089607462,0.488781744847074,0.830784904770553,0.269908803747967
3,-1.6129,130.059,8.9949e-06,3.213e-05,84.9,267.54,11.48,332,1,1.024,1,0.121287,'357512',0.177026914432645,0.863555103773251,0.231297094374895,0.552208019886166,0.46618436044082,0.86079589673318,0.736943773226812,0.95950247021392,0.596898701507598,0.723993270192295,0.0426553916186094,0.238914774963632,0.438644466921687,0.414377189008519,0.416796667501330,0.203408180270344
6.7,-0.4048,?,7.5965e-07,?,16.7,8.19,9.39,200,1,1.024,0,0.0952019,'324561',0.916092785308138,0.122027060715482,0.858931516529992,0.883753625908867,0.109214458381757,0.908411912852898,0.835161104099825,0.296666064299643,0.866055298829451,0.855706993490458,0.705291647231206,0.652149688918144,0.375419014599174,0.652700060978532,0.957781401230022,0.211843854980543
1.489,-1.5457,146.355,1.3632e-05,?,80.6,103.24,10.8,295,1,1.024,1,0.0942382,'205851',0.696326556615531,0.809977617813274,0.245837443508208,0.67486966936849,0.876308829989284,0.555334887234494,0.505704596405849,0.341251387028024,0.209619705798104,0.618476629490033,0.267578926170245,0.0450051133520901,0.0325445199850947,0.0231844221707433,0.00748339272104204,0.212569457245991
2.625,-0.8031,?,1.0975e-06,8.603e-06,17.7,79.79,8.87,1732,0,64,1,0.200246,'353540',0.634283236693591,0.579491190379485,0.649880685610697,0.293685626704246,0.947665125364438,0.271310932934284,0.383810993516818,0.867585421307012,0.425016506342217,0.720301211345941,0.698454532539472,0.78304565162398,0.717461108695716,0.0566032058559358,0.675456160213798,0.209365123650059
4.41,-1.008,?,6.7621e-07,?,18,8.4,9.99,269,1,1.024,1,0.140174,'192059',0.108138268813491,0.848411347484216,0.0264976758044213,0.127528272336349,0.745897333137691,0.720331103773788,0.574335830053315,0.294790660962462,0.356359787750989,0.534612223040313,0.561059871455655,0.856744985096157,0.924396550050005,0.734559603733942,0.915614963974804,0.259325941326097
5.11,-0.6852,?,1.2156e-06,?,16.5,74.1,13.36,3110,0,64,1,0.227997,'211117',0.404356085229665,0.80870418692939,0.874165648594499,0.367176580475643,0.683629363542423,0.734249067027122,0.93020797194913,0.895987279480323,0.587426056154072,0.376845300430432,0.8593178933952,0.930095897056162,0.516446936642751,0.241410000016913,0.269203033531085,0.937273055547848
2.737,-1.6963,?,?,?,11.8,192.92,?,?,?,?,1,0.122711,'359530',0.682899921666831,0.604535267222673,0.0816975471097976,0.27644996275194,0.471149206161499,0.941672113956884,0.75481052370742,0.519166015088558,0.564182674046606,0.00288888532668352,0.807230273960158,0.832499436102808,0.793766066199169,0.200922343181446,0.052810474531725,0.9521449143067
1.8,-0.9885,?,6.5142e-07,2.37e-05,30.1,7.5,8.22,161,1,0.512,1,0.116582,'217805',0.550360867055133,0.397347633028403,0.357608096441254,0.236189809395000,0.358279745094478,0.915191636420786,0.917090099304914,0.187676376663148,0.321322077652439,0.230249324114993,0.600152522558346,0.502523492323235,0.116081592626870,0.870192510541528,0.791158569045365,0.9138031990733
3.425,-0.6565,?,?,?,20.1,75.14,8.58,380,1,4.096,1,0.201207,'217704',0.00490352581255138,0.108376477612182,0.96101090614684,0.765947070205584,0.370385750895366,0.151911410968751,0.0612784784752876,0.938284281408414,0.324483382515609,0.561417890479788,0.634117851499468,0.00658526830375195,0.399324778933078,0.559254678431898,0.798462142702192,0.903934745118022
2.4266,?,29.1842,2.6894e-06,4.512e-05,27.5,361.92,7.4,215,1,1.024,1,0.0703095,'305288',0.456590086221695,0.169730620225891,0.710161605849862,0.250493853352964,0.691508315270767,0.0970722406636924,0.127927129156888,0.892053602728993,0.625480790389702,0.0134740232024342,0.484825839987025,0.625094533665106,0.217855613911524,0.187706944532692,0.876447971444577,0.809234482934698
0.383,-1.1211,92.0247,5.2607e-07,?,13.8,2.2,8.54,201,1,1.024,1,0.0386268,'299787',0.639701983425766,0.460737266112119,0.191700554918498,0.51545560406521,0.783369426382706,0.693844618974254,0.903137763496488,0.772332468535751,0.434390605427325,0.569627115037292,0.504504307406023,0.049463007831946,0.0817325520329177,0.816608463181183,0.122874637832865,0.422323329374194
0.836,-1.4067,122.638,4.4072e-06,7.481e-05,48.1,51,10.03,201,1,0.512,1,0.128738,'271019',0.265322035178542,0.367002887884155,0.888970933156088,0.754817489534616,0.653029969194904,0.838720737025142,0.254254715284333,0.21547897788696,0.194358505774289,0.295863176463172,0.472229994833469,0.652132647344843,0.798674651188776,0.284289720235392,0.522080956492573,0.175604486605152
2.198,-0.992,?,2.6587e-06,3.18e-05,60,4.56,22.78,1485,1,1.024,1,0.0602667,'156467',0.127021831693128,0.388185858726501,0.801732526160777,0.0516795625444502,0.588748533977196,0.00359546905383468,0.844143604626879,0.615540398284793,0.463035054504871,0.906477172160521,0.759363802848384,0.888342299032956,0.938716744771227,0.396367355016991,0.382644104538485,0.0577097339555621
1.23,-1.7095,58.1324,9.6733e-07,?,17.2,30.25,9.84,288,1,1.024,1,0.139003,'316204',0.423223066609353,0.427204212872311,0.0171691451687366,0.0227446665521711,0.98394008120522,0.540538742206991,0.831595406401902,0.674154509557411,0.931845927378163,0.217896949732676,0.143708575051278,0.37163217831403,0.370607054093853,0.00721412524580956,0.150728998240083,0.919830724131316
1.261,-0.957,588.845,0.00011459,2.269e-05,330.4,74.9,15.62,384,1,1.024,1,0.0309487,'232683',0.106405912665650,0.208539297105744,0.386742142960429,0.493159597739577,0.5228507949505,0.88634945359081,0.0204438236542046,0.897164362715557,0.166471146512777,0.391723512206227,0.202405072283000,0.223316457122564,0.575680554844439,0.639615519205108,0.112687479238957,0.680074727861211
2.374,-1.6678,65.0574,2.7841e-06,5.422e-05,22.8,103.97,8.01,259,1,2.048,1,0.197561,'323898',0.0264811038505286,0.740204179426655,0.901832909090444,0.981903988867998,0.589503362542018,0.377647214569151,0.735276709543541,0.255612230161205,0.673880277900025,0.135161570971832,0.704954125685617,0.522167523391545,0.97138737840578,0.810927473474294,0.864278730470687,0.788782859453931
