@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@data
0.059,?,32.42,2.23e-06,7.6,1.212,422,7.83,1835,64,0.1811,'no','no','416135',0.175451544811949,0.473496034508571,0.747077740263194,0.679792147129774,0.532069813692942,0.64170388202183,0.133191637229174,0.574755263747647,0.779628039104864,0.743306877091527,0.337914884556085,0.159240407869220,0.378897343529388,0.327726768329740,0.537990613142028,0.15867855027318
1.16,?,41.97,2.059e-07,10.1,0.091,5.34,?,?,?,0.0992,?,'yes','279592',0.381875456310809,0.543258756166324,0.897395541891456,0.160452082520351,0.668932379921898,0.640939761186019,0.705824581673369,0.399103801697493,0.797609037719667,0.219645450124517,0.91729527991265,0.088347592856735,0.930391745641828,0.241391351912171,0.633678963873535,0.957241146126762
1.547,-1.359,182.3,1.424e-05,35.5,0.079,30.69,9.37,239,2.048,0.07977,'yes','yes','338895',0.993732271017507,0.0728372663725168,0.548632202902809,0.165099321631715,0.784466837532818,0.452080072369426,0.555757253197953,0.852088863728568,0.475993912899867,0.315726519795135,0.907180151669309,0.768049546983093,0.0220476421527565,0.926944892387837,0.900019087363034,0.599143664818257
1.692,-1.733,63.32,3.959e-06,39.8,0.064,284.9,8.92,2444,112,0.2024,'no','yes','326115',0.279517816845328,0.434403917286545,0.493667241884395,0.793809963623062,0.563846156932414,0.815955621888861,0.427019921364263,0.984806722262874,0.983619001461193,0.178165501914918,0.942418282618746,0.555492800427601,0.0464221960864961,0.350153936306015,0.229005553526804,0.849978054407984
3.85,-0.981,129,3.254e-06,15.2,-0.032,81.77,8.61,647,12.16,0.1085,'yes','no','352648',0.307747481390834,0.28418346028775,0.225271884584799,0.0622057551518083,0.438528408994898,0.207514749607071,0.422521779080853,0.401490369113162,0.114365263609216,0.976140110986307,0.963895467109978,0.238079468486831,0.229322652565315,0.880335451103747,0.239380987826735,0.696420832769945
4.109,-1.56,101.2,1.49e-05,24,0.055,228.5,8.83,554,26.88,0.1544,'yes','no','352190',0.430278953863308,0.931109179509804,0.200757381273434,0.513775748433545,0.468480546260253,0.485154655994847,0.453250509221107,0.34823331842199,0.574051741277799,0.738552365684882,0.43113780929707,0.347773965448141,0.410805125022307,0.262053417041898,0.589649596717209,0.424890876049176
2.296,4.996,29.64,4.757e-07,5.4,0.058,8.16,6.59,166,1.024,0.1251,'yes','yes','178750',0.601128515088931,0.739048026734963,0.645208585308865,0.459219218697399,0.147029020125046,0.649087990401313,0.908670630306005,0.951156119117513,0.111741267377511,0.676393036963418,0.361397375585511,0.185160208726302,0.255883874371648,0.120763942366466,0.881116495933384,0.125283811939880
0.6535,-0.864,24.18,3.512e-07,17.5,0.234,2.91,11,?,0.512,0.004345,'yes','yes','114753',0.386762807378545,0.700056597357616,0.81258262344636,0.713784664403647,0.662473295582458,0.41573834605515,0.161387167405337,0.558087353827432,0.736808118410408,0.448536957148463,0.229913189308718,0.608015861362219,0.8586171339266,0.410893487976864,0.352766419295222,0.397480104351416
2.711,-1.903,?,4.299e-06,44,0.056,118.7,8.78,363,4.096,0.1466,'yes','yes','219101',0.194422105094418,0.553096864605322,0.418690559221432,0.772104822099209,0.0778988541569561,0.214389063417912,0.491742888232693,0.539376406464726,0.561375296674669,0.397998348809779,0.417217721696943,0.204258430283517,0.411652032053098,0.693671453511342,0.424369569402188,0.931636344408616
2.452,-1.292,151.5,1.173e-05,78.5,0.023,99.76,10.25,260,1.024,0.1286,'yes','yes','359711',0.270482053048909,0.211546977050602,0.671025272924453,0.251099231187254,0.913824142655358,0.338845893042162,0.238970653852448,0.48860628856346,0.355609911959618,0.476026935037225,0.0277886583935469,0.490183471003547,0.905015911441296,0.092440813081339,0.507251337403432,0.533582382602617
2.641,-1.752,90.02,2.738e-06,36.6,0.117,43.89,17.85,4514,80,0.1535,'no','yes','302888',0.92610520659946,0.929019408067688,0.749346419703215,0.176180218579248,0.311275551561266,0.989702017745003,0.577368485508487,0.680596756283194,0.100663771620020,0.840960765723139,0.554507527500391,0.329556299373507,0.218374683754519,0.986880068667233,0.492789919720963,0.2868881537579
4.65,-0.8902,44.91,1.923e-07,13,0.041,10.68,8.16,397,4.096,0.1256,'yes','no','342121',0.433873860398307,0.81122470041737,0.448397922795266,0.7870673451107,0.859220280544832,0.372364278882742,0.541443596826866,0.926291995216161,0.41286611976102,0.525637736311182,0.381477528717369,0.44417865970172,0.431970008648932,0.811150800436735,0.440444089006633,0.0186065074522048
2.77,-1.037,136.2,7.306e-06,147.6,0.031,33.48,8.08,115,0.256,0.05655,'yes','yes','337914',0.380202165571973,0.552096504019573,0.501522985287011,0.822598760016263,0.163516609929502,0.475701517891139,0.160745818400756,0.167873279424384,0.913859000662342,0.488155665108934,0.963899829657748,0.773248585639521,0.113789069233462,0.315485718660057,0.067517104325816,0.548715128097683
4.772,-1.652,64.52,2.075e-06,23.3,0.014,65.1,10.4,928,12.16,0.2276,'yes','no','421814',0.760462071746588,0.402344768866897,0.0545110574457794,0.840035552158952,0.735706460662186,0.818211904261261,0.0764957542996854,0.784630015259609,0.76640473632142,0.357226938707754,0.197368578752503,0.878210938768461,0.346297019859776,0.971282031852752,0.156417857622728,0.358550543431193
2.58,?,51.81,1.574e-06,19.8,-0.041,66.55,?,?,?,0.1536,?,'no','334877',0.0375397696625441,0.400597196538001,0.693620008416474,0.458936719922349,0.0530453519895673,0.109560304554179,0.457163467537612,0.253358846530318,0.193668027408421,0.630448076175526,0.830114961834624,0.0322409595828503,0.513370835222304,0.916890546446666,0.538123846286908,0.436179507058114
1.497,-1.671,105,9.043e-06,85.4,0.316,261.4,9.85,705,12.16,0.1261,'yes','no','263361',0.803398516727611,0.567495502531528,0.0120549546554685,0.284199189860374,0.924474375788122,0.75107601378113,0.409774300409481,0.772716168081388,0.363839291734621,0.701531035127118,0.605641975998878,0.0584316733293235,0.127978717675433,0.420851265313104,0.483304384630173,0.754967728396878
0.845,-1.26,80.54,3.242e-06,12.6,0.042,139.1,8.57,387,4.096,0.1772,'yes','yes','316534',0.99987310427241,0.169061521766707,0.0599487517029047,0.703402950428426,0.818798519438133,0.921551266917959,0.854580653132871,0.276669333921745,0.804976127110422,0.310601888690144,0.577085081487894,0.999660278204829,0.318046179134399,0.845941580599174,0.0877996790222824,0.309851897880435
0.689,-1.084,107.6,5.551e-06,89.3,0.184,62.53,20.32,860,1.024,0.1408,'yes','yes','324895',0.485456404043362,0.120349568082020,0.378800648264587,0.786207084311172,0.325135496910661,0.682306768139824,0.765745972748846,0.0909234606660903,0.302381252171472,0.687264973297715,0.549819899257272,0.112275389488786,0.836758546996862,0.911035801749676,0.00934132165275514,0.489392077084631
2.03,?,432.9,5.119e-07,20.5,0.062,15.28,8.51,242,1.024,0.1415,'yes','no','176453',0.552022563526407,0.597096648765728,0.821988714393228,0.792138740886003,0.881518679205328,0.942782171536237,0.812491682590917,0.185606808867306,0.494274705881253,0.939194138161838,0.759639973053709,0.558989988639951,0.249484238447621,0.384644147241488,0.837508893571794,0.468768541701138
3.076,-1.232,200.4,3.625e-06,13,0.069,49.68,7.64,494,16.38,0.1011,'yes','yes','375246',0.0880362931638956,0.468693593051285,0.747983511770144,0.0681965907569975,0.581802586792037,0.762163765728474,0.549722855910659,0.906002605566755,0.801720927702263,0.409253067802638,0.298742684070021,0.940551296574995,0.580099942162633,0.601002978160977,0.986605667509139,0.246532561257482
0.422,-1.328,122.6,4.423e-06,19.9,0.129,88.2,7.61,1450,72,0.1445,'no','no','148833',0.515210393816233,0.083973504602909,0.778840255225077,0.0694821774959564,0.294143985724077,0.582928195828572,0.0242245921399444,0.575778457103297,0.529002170544118,0.167215465568006,0.317171794129536,0.452123606344685,0.239998847944662,0.964795544976369,0.379887990420684,0.653996859444305
1.71,-1.586,71.12,2.737e-06,18.6,0.027,14.25,8.05,206,1.024,0.1281,'yes','yes','148646',0.489481486612931,0.5818663937971,0.238821753999218,0.983137185918167,0.588629206409678,0.114747455576435,0.656617217697203,0.660936205647886,0.548726370558143,0.00434708944521844,0.131612086202949,0.546266813995317,0.903728131903335,0.390404858393595,0.652800989802927,0.88464852492325
2.1,-1.436,128,1.356e-05,80.3,0.058,254.3,7.56,187,1.024,0.1582,'yes','yes','336489',0.991454305360094,0.108719761250541,0.133251106366515,0.666517020436004,0.825980392983183,0.82961830822751,0.552640710026026,0.826240663882345,0.269889099057764,0.501045935321599,0.621850815135986,0.295126778306440,0.802212704904377,0.572199409361929,0.633071306860074,0.463263825047761
2.954,-1.705,107.8,4.23e-06,30.4,-0.028,108.6,10.52,600,4.096,0.2168,'yes','yes','275087',0.380311265820637,0.338395365746692,0.93727025971748,0.00903761922381818,0.450682606548071,0.146696856711060,0.720786664867774,0.85220826882869,0.725292811868712,0.498712418600917,0.728861700743437,0.75457403017208,0.730659547029063,0.481261029373854,0.306363816605881,0.0638689717743546
0.348,4.998,23.88,3.608e-07,5.4,-0.046,20.46,14.21,4775,128,0.06881,'no','yes','207399',0.822825982701033,0.615662897937,0.413037899648771,0.924669837811962,0.605757582001388,0.0411259869579226,0.345232065999880,0.598105311859399,0.279784488026053,0.757929228944704,0.929765961831436,0.274205631809309,0.657760621747002,0.495748243993148,0.945856928126886,0.333416468929499
4.27,-1.407,89.43,4.836e-06,21.8,0.048,60.2,10,?,2.048,0.1477,'yes','no','117504',0.502912800060585,0.936804909259081,0.815591452876106,0.155096599599347,0.103151847608387,0.604880159487948,0.526642163982615,0.130103428149596,0.719765485730022,0.646682374645025,0.848603405524045,0.800896930508316,0.86382164992392,0.586103828623891,0.0909223875496536,0.868761654710397
6.6,-1.4,95.32,2.878e-06,11.5,0.762,36,6.58,454,16.38,0.1455,'yes','no','177533',0.62589671020396,0.437136387219653,0.0153071694076061,0.88960311585106,0.247715193545446,0.635617320425808,0.0714412631932646,0.603972338605672,0.927999125793576,0.136616847943515,0.0631317130755633,0.174778524320573,0.702031075954437,0.78556591575034,0.296695379307494,0.918128458084539
3.53,-1.148,69.81,1.873e-06,27.4,-0.048,109.9,10.48,775,8.192,0.2178,'yes','no','177408',0.407961396733299,0.795597476419061,0.345892611192539,0.768093213206157,0.982954675564542,0.0555554896127433,0.347355248406529,0.853272723034024,0.938388761365786,0.585409346036613,0.496194066246971,0.0642692076507956,0.404498476069421,0.867679841583595,0.795232656411827,0.423495319206268
0.767,-1.74,113.1,1.859e-06,52.7,0.148,16.2,10.83,262,0.512,0.1073,'yes','yes','310613',0.76482665236108,0.99853018228896,0.169809331186116,0.402515330119058,0.0543907193932682,0.56967726466246,0.352425154298544,0.535797773860395,0.051988607738167,0.195010748924688,0.675457561388612,0.246905600419268,0.928159034112468,0.331970246508718,0.527165982173756,0.0157246794551611
0.5295,-1.353,35.31,5.909e-07,19.6,0.267,5.55,9.43,221,1.024,0.0256,'yes','yes','330856',0.63989620981738,0.490263261599466,0.973504905123264,0.312798153841868,0.0565514906775206,0.301658293465152,0.601650511845946,0.320177927380428,0.56227577617392,0.127639521146193,0.614770586136729,0.950834735063836,0.0688345390371978,0.552161881001666,0.0362446112558246,0.218500463292003
2.5,-1.346,124.4,5.22e-06,13.5,0.119,112.2,6.76,419,12.16,0.1627,'yes','yes','280706',0.504815211053938,0.945226916112006,0.355156054021791,0.794545160606503,0.351381861371920,0.096565147396177,0.200493835611269,0.233138739829883,0.078157818177715,0.503281006822363,0.885738536948338,0.902714089490473,0.413856835337356,0.285962054040283,0.584129406139255,0.0774812481831759
1.969,-1.303,105.2,5.613e-06,50.7,0.044,199.3,10,382,2.048,0.2061,'yes','yes','331093',0.992078743875027,0.475551245966926,0.176821826957166,0.548004352487624,0.878248598659411,0.179763162042946,0.378356677945703,0.225992809748277,0.612067488254979,0.245455385185778,0.955107810907066,0.410625975579023,0.709309828933328,0.906209205742925,0.876310443971306,0.725713489111513
0.714,-1.088,92.03,4.432e-07,12.5,0.007,4.3,10.59,323,1.024,0.04889,'yes','no','174738',0.802462269784883,0.803429011255503,0.405161784030497,0.393457094673067,0.63474656152539,0.543220559600741,0.687331498833373,0.929825325263664,0.49328013905324,0.476226210128516,0.280295147327706,0.603908258257434,0.466687184059992,0.0749418779741973,0.664866008330137,0.119603138649836
3.35,-1.313,174.5,9.705e-06,57.9,0.014,453.2,7.59,196,1.024,0.1549,'yes','yes','319584',0.602366270730272,0.264226546278223,0.597688438137993,0.023690641624853,0.238878860604018,0.727278192294762,0.621818858664483,0.456657520029694,0.581394010456279,0.433494559489191,0.394951681839302,0.610752250533551,0.485033482778817,0.000432138098403811,0.495542481308803,0.119949492625892
3.969,-1.375,111,2.609e-06,13.2,0.005,60.48,10.96,1019,12.16,0.1747,'yes','yes','148225',0.344268544111401,0.729505891446024,0.919703738298267,0.594773064600304,0.750580912688747,0.0416920960415155,0.124022487318143,0.178638132289052,0.554400663590059,0.304243451217189,0.946382506983355,0.503021215554327,0.931877940893173,0.983185141347349,0.173803316429257,0.674066049512476
0.624,?,25.97,4.777e-07,13.3,0.047,9.63,7.06,177,1.024,0.104,'yes','yes','419797',0.375357328448445,0.58214191487059,0.861947116907686,0.302905053133145,0.164347140584141,0.749059105757624,0.513753017876297,0.233055024873465,0.623453941894695,0.697898495476693,0.159114209236577,0.267236817628145,0.633386853849515,0.774800315033644,0.5876915815752,0.857151337666437
1.37,-1.772,?,4.936e-07,14.3,0.071,18.36,11.42,236,0.512,0.08047,'yes','yes','370846',0.904556892812252,0.459556471090764,0.187708508921787,0.306718475418165,0.812772690318525,0.822850664146245,0.288869516458362,0.776722559472546,0.84751964500174,0.492767280898988,0.824675019597635,0.395672684302554,0.289674892788753,0.00376693555153906,0.99338567070663,0.610852175625041
4.813,?,268.9,5.319e-07,15.2,0.018,31.72,7.73,1502,64,0.1948,'no','no','414592',0.556215480901301,0.484588740859181,0.278513099765405,0.891360147856176,0.651496331207454,0.0623574194032699,0.704712932463735,0.0371188528370112,0.585847411770374,0.420635929098353,0.852238551015034,0.442694248864427,0.60994139756076,0.648570677032694,0.511816509533674,0.373161718947813
1.314,-1.375,230.4,2.792e-05,273.8,0.118,83,8.08,110,0.256,0.03216,'yes','yes','239899',0.344633792992681,0.538900093873963,0.599128442816436,0.4972708246205,0.691854381468147,0.685278575867414,0.523939978098497,0.397123424569145,0.442156694130972,0.902414456941187,0.800541769945994,0.589635314187035,0.75211463496089,0.413536185864359,0.57599872094579,0.950360941234976
1.159,-1.159,223.1,1.387e-05,85.7,0.133,26.78,8.76,219,1.024,0.06414,'yes','yes','240766',0.519711796194315,0.483274483354762,0.173713272204623,0.360661481972784,0.390351193957031,0.545642734738067,0.29820721806027,0.934235729044303,0.222502192016691,0.481907851994038,0.449608912691474,0.590249829227105,0.261679888470098,0.795155152445659,0.61702093319036,0.935366106918082
3,-1.613,130.1,8.995e-06,84.9,0.071,267.5,11.48,332,1.024,0.1213,'yes','yes','357512',0.768557173432782,0.01481933449395,0.445095886243507,0.611866013845429,0.99774097185582,0.857098135864362,0.620124719571322,0.674273150041699,0.661314708180726,0.262076204875484,0.378401749534532,0.144574619596824,0.0207129258196801,0.0158883295953274,0.0520529656205326,0.872708070091903
6.7,-0.4048,98.2,7.597e-07,16.7,0.038,8.19,9.39,200,1.024,0.0952,'yes','no','324561',0.221367328427732,0.597241980955005,0.438611675752327,0.394740818534046,0.805415697861463,0.707189091481268,0.112076960504055,0.867198481457308,0.729336062679067,0.988159985980019,0.658506743609905,0.693816729122773,0.911288118222728,0.713599705370143,0.684865439776331,0.575519987149164
1.489,-1.546,146.4,1.363e-05,80.6,0.064,103.2,10.8,295,1.024,0.09424,'yes','yes','205851',0.513693818356842,0.92243740404956,0.762026789132506,0.456869510002434,0.807066180976108,0.769040488172323,0.139849816681817,0.642121153417975,0.976403494598344,0.82158036250621,0.057958543067798,0.338704325724393,0.238809675211087,0.0722642857581377,0.83665726846084,0.725908417487517
2.625,-0.8031,43.47,1.098e-06,17.7,0.007,79.79,8.87,1732,64,0.2002,'no','yes','353540',0.329654871020466,0.314320126082748,0.728073766455054,0.765119032934308,0.6218460095115,0.533063779585063,0.590531654423103,0.219914554385468,0.105637355009094,0.78672115597874,0.742021260550246,0.145529214525595,0.284023984568194,0.188774238340557,0.580164710525423,0.388815065845847
4.41,-1.008,74.01,6.762e-07,18,-0.015,8.4,9.99,269,1.024,0.1402,'yes','yes','192059',0.78387069166638,0.637539773946628,0.598503718618304,0.98597158282064,0.610076494514942,0.0576829279307276,0.966668374137953,0.339925453765318,0.450006818864495,0.636671695159748,0.351631668396294,0.366198700619861,0.948979394277558,0.997954881051555,0.436790062580258,0.94385031494312
5.11,-0.6852,76.95,1.216e-06,16.5,-0.001,74.1,13.36,3110,64,0.228,'no','yes','211117',0.841944663552567,0.599160176236182,0.227564944885671,0.384283954976127,0.237154376925901,0.837376166833565,0.56101194769144,0.355889941798523,0.773229587590322,0.0174581033643335,0.47757334378548,0.621588754700497,0.223757485626265,0.965551475062966,0.240437388885766,0.0880435130093247
2.737,-1.696,?,9.22e-07,11.8,0.073,192.9,?,?,?,0.1227,?,'yes','359530',0.808945489814505,0.637335333740339,0.651406449498609,0.196701363427565,0.370235532289371,0.543620298150927,0.849195200251415,0.0873789116740227,0.725594055838883,0.0552010799292475,0.887281563598663,0.109141529072076,0.498805060749874,0.0909871063195169,0.93880173470825,0.660859812051058
1.8,-0.9885,97.7,6.514e-07,30.1,0.028,7.5,8.22,161,0.512,0.1166,'yes','yes','217805',0.721942266216502,0.00599015643820167,0.343256592750549,0.901066164718941,0.211290081264451,0.888088312931359,0.612515424843878,0.425513348309323,0.916118749417365,0.522264106664807,0.976673436816782,0.321857665199786,0.954083127668127,0.101848536636680,0.65879980684258,0.234909070422873
3.425,-0.6565,60.94,1.88e-06,20.1,0.024,75.14,8.58,380,4.096,0.2012,'yes','yes','217704',0.600090073188767,0.819227718515322,0.0532464918214828,0.517737065674737,0.0440626759082079,0.710628495551646,0.530821488471702,0.51542835473083,0.07369778258726,0.916296733310446,0.529395218938589,0.794735819101334,0.459090958815068,0.777125354157761,0.674153195461258,0.663515482097864
2.427,?,29.18,2.689e-06,27.5,0.005,361.9,7.4,215,1.024,0.07031,'yes','yes','305288',0.951644070446491,0.845980792073533,0.0596524809952825,0.00441375444643199,0.142024916131049,0.257423262810335,0.197844976792112,0.901531014358625,0.938999733887613,0.222865394083783,0.641644273884594,0.784824137808755,0.91941999644041,0.189889545785263,0.524463650071993,0.378225316759199
0.383,-1.121,92.02,5.261e-07,13.8,0.026,2.2,8.54,201,1.024,0.03863,'yes','yes','299787',0.882142391987145,0.629937860416248,0.0267137808259577,0.335167041281238,0.741994590265676,0.783890172373503,0.0799672659486532,0.487205602927133,0.847038406413049,0.771365461638197,0.693196764448658,0.221950380131602,0.168283675797284,0.620939983986318,0.180473581654951,0.742675601504743
0.836,-1.407,122.6,4.407e-06,48.1,0.23,51,10.03,201,0.512,0.1287,'yes','yes','271019',0.290698248893023,0.201347901020199,0.117815054254606,0.518479938618839,0.871230393648148,0.0902131316252053,0.291559021454304,0.701116925105453,0.200038102222607,0.885109005263075,0.270121091743931,0.245919517241418,0.868083593901247,0.463052456500009,0.34768954385072,0.00569011573679745
2.198,-0.992,177.9,2.659e-06,60,0.024,4.56,22.78,1485,1.024,0.06027,'yes','yes','156467',0.962823687819764,0.884819954633713,0.765142334392294,0.312365560559556,0.669971488881856,0.734640842070803,0.976798813324422,0.7420868948102,0.398517347639427,0.486223608721048,0.681146665941924,0.657219885382801,0.991220408584923,0.879229215439409,0.87178154126741,0.769428853411227
1.23,-1.71,58.13,9.673e-07,17.2,-0.032,30.25,9.84,288,1.024,0.139,'yes','yes','316204',0.501955724321306,0.731327183544636,0.8054745180998,0.226376925595105,0.511057296069339,0.942965779919177,0.91411732789129,0.870116584235802,0.172156325541437,0.635028661228716,0.0546951971482486,0.449627436231822,0.655172437429428,0.283893358195201,0.28756693075411,0.0846079827751964
1.261,-0.957,588.8,0.0001146,330.4,0.118,74.9,15.62,384,1.024,0.03095,'yes','yes','232683',0.760120955994353,0.844790564384311,0.738239215686917,0.295874062227085,0.369231610791758,0.601121959742159,0.0636657802388072,0.214791755657643,0.419923838926479,0.483947791391984,0.160450823837891,0.993819201365113,0.366723598912358,0.205615193583071,0.141691823955625,0.128585530212149
2.374,-1.668,65.06,2.784e-06,22.8,0.193,104,8.01,259,2.048,0.1976,'yes','yes','323898',0.206025980878621,0.90347067383118,0.85317528899759,0.182624944951385,0.190483748912811,0.385939092375338,0.844991516321898,0.982875207671896,0.0963647773023695,0.294101980980486,0.841323450440541,0.848791982745752,0.273533627623692,0.221614249749109,0.267864450113848,0.220157627714798
2.692,?,26.85,1.103e-06,15.9,0.024,187.2,9.48,455,4.096,0.1518,'yes','yes','295670',0.942997245583683,0.62562154699117,0.374046242795885,0.684678934514523,0.673563028685749,0.615377113223076,0.432425533886999,0.40260404208675,0.297875739634037,0.96192732756026,0.639498782809824,0.442576987436041,0.238752228207886,0.237179891206324,0.872587258461863,0.817087939474732
