@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780','106709','111063','111529','111622','113120','114753','117504','130088','131560','147478','148225','148646','148833','150314','151207','151905','152113','153514','154112','156467','163136','163170','163438','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','282066','284856','285654','286809','287364','292934','293707','293795','294835','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309010','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','346386','349510','350184','350311','352190','352648','353540','355083','357512','358422','359530','359711','359951','370791','370846','373172','373458','373674','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@data
1.331,-1.163,?,?,3.4001e-06,?,1.911,76.4,?,6.48,25.57,2183,1.024,0.0534918,'yes','no','296805',0.00552289863117039,0.636553753865883,0.863400481408462,0.542725425213575,0.701299235690385,0.462091171648353,0.000329895643517375,0.380219688173383,0.0997778729069978,0.983140570344403,0.763088521081954,0.550246261525899,0.49725422123447,0.880360018694773,0.539602174423635,0.789841089397669
1.18,?,-2.287,36.1062,2.5124e-07,?,2.2253,18,-0.055,4.3,9.1,189,0.512,0.0586255,'yes','yes','416103',0.843643811065704,0.523595055565238,0.899680414702743,0.0178053085692227,0.248923661420122,0.637906754855067,0.468910216586664,0.219908401137218,0.288633390329778,0.0346786705777049,0.804475272540003,0.963651253143325,0.551878693280742,0.723822849104181,0.348031207220629,0.638865366112441
0.059,?,-2.3481,32.4207,2.2302e-06,?,?,7.6,?,422,7.83,1835,64,0.181122,'no','no','416135',0.320754470070824,0.179870208492503,0.78381039458327,0.530043729348108,0.103389457333833,0.78828188101761,0.215197665849701,0.957414773991331,0.851281024049968,0.0689812910277396,0.0958237329032272,0.951496148016304,0.682235674234107,0.947049656650051,0.856227342039347,0.372291659936309
1.16,?,-2.1268,41.9671,2.0585e-07,?,?,10.1,?,5.34,?,?,?,0.099199,?,'yes','279592',0.432808926329017,0.465934329666197,0.877155459718779,0.688970759743825,0.223558847326785,0.477773283142596,0.923330353572965,0.420681672170758,0.366201485972852,0.888175887055695,0.0158852476160973,0.90709277568385,0.743422766914591,0.788654341362417,0.739078670507297,0.0862302435562015
1.547,-1.3593,?,182.27,1.4244e-05,6.504e-05,1.7717,35.5,?,30.69,9.37,239,2.048,0.0797668,'yes','yes','338895',0.409353937022388,0.829555601580068,0.927913235966116,0.259533021133393,0.566811766009778,0.0778827895410359,0.955434385919943,0.397226767847314,0.502133912872523,0.923471715999767,0.87477219151333,0.585137472487986,0.662593391723931,0.949733302928507,0.447504312731326,0.466791908256710
1.692,-1.7327,?,63.3245,3.9593e-06,0.0001098,2.1169,39.8,?,284.9,8.92,2444,112,0.202398,'no','yes','326115',0.903128748293966,0.980268946383148,0.0726398569531739,0.490079801296815,0.472910238197073,0.944566974882036,0.0427507229615003,0.86958728195168,0.00976937846280634,0.0666545038111508,0.520343917887658,0.183786365203559,0.997936206869781,0.609798602759838,0.528635972877964,0.475962690077722
3.85,-0.981,?,128.993,3.254e-06,?,1.7634,15.2,-0.032,81.77,8.61,647,12.16,0.108463,'yes','no','352648',0.688942786306143,0.937438410473987,0.853156785713509,0.132723411079496,0.694522633682936,0.63587185437791,0.717137938598171,0.944065543822944,0.925962778972462,0.491592565085739,0.895663582719862,0.608540222980082,0.149975537322462,0.069924021139741,0.531274217180908,0.789736318401992
4.109,-1.5604,?,101.184,1.4903e-05,0.0001171,2.1406,24,?,228.48,8.83,554,26.88,0.154407,'yes','no','352190',0.577302818885073,0.408646709984168,0.0489366604015231,0.694703062064946,0.575780635001138,0.215884958393872,0.220327572897077,0.270376794040203,0.557264883536845,0.0603096508421004,0.65240124380216,0.361743748420849,0.986658372916281,0.87553663412109,0.722123373998329,0.908123376080766
2.296,?,-2.0001,29.6428,4.7567e-07,0.0001794,2.0113,5.4,0.058,8.16,6.59,166,1.024,0.125147,'yes','yes','178750',0.154622097266838,0.715812667505816,0.724335937993601,0.407914493232965,0.0890342176426202,0.859615357359871,0.556282848119736,0.430759261362255,0.129820151487365,0.962761733680964,0.249841090291739,0.922446209704503,0.732292645610869,0.619334447430447,0.124790943693370,0.705515644745901
0.6535,-0.864,?,24.1774,3.5115e-07,2.559e-05,2.076,17.5,0.234,2.91,11,?,0.512,0.00434538,'yes','yes','114753',0.412161914864555,0.0159384768921882,0.111556497402489,0.689474681625143,0.96783161489293,0.933647459140047,0.69655594904907,0.606776366010308,0.0619507369119674,0.421926152426749,0.793379473267123,0.83263619011268,0.565950847696513,0.83125013532117,0.328110822243616,0.363988236524165
2.711,-1.9028,?,?,4.2985e-06,1.251e-05,2.0368,44,?,118.72,8.78,363,4.096,0.146599,'yes','yes','219101',0.618059691041708,0.770311141386628,0.305124999256805,0.155614207498729,0.964510518824682,0.160722557920963,0.482420666376129,0.640716520836577,0.72574906446971,0.970787650207058,0.982903577852994,0.906488404376432,0.60104243340902,0.936091837706044,0.627312731230631,0.364560892106965
2.452,-1.2922,?,151.459,1.1726e-05,0.000124,1.8173,78.5,?,99.76,10.25,260,1.024,0.128584,'yes','yes','359711',0.766954741440713,0.251884924247861,0.916901159333065,0.166763178072870,0.584587182383984,0.781069169053808,0.00106101203709841,0.32896022265777,0.0642063533887267,0.665870673954487,0.585882392479107,0.328800873598084,0.908700651023537,0.631933403434232,0.572790282545611,0.0928514634724706
4.6497,-0.8902,?,44.9122,1.9228e-07,?,2.0445,13,?,10.68,8.16,397,4.096,0.125617,'yes','no','342121',0.418968577170745,0.215945167234167,0.161034267162904,0.963268171530217,0.269165885401890,0.34665327006951,0.618874006671831,0.632629132363945,0.634156153537333,0.260217364644632,0.995395335834473,0.00424496550112963,0.119514550780877,0.980969922151417,0.112975010415539,0.180622316664085
2.77,-1.0366,?,?,7.3056e-06,9.527e-05,2.0069,147.6,?,33.48,8.08,115,0.256,0.0565464,'yes','yes','337914',0.206276940181851,0.353120646206662,0.867829744936898,0.920675003202632,0.458673070883378,0.579791604774073,0.87832261272706,0.290771320695058,0.122229420347139,0.542638999642804,0.548057022504508,0.666176794562489,0.204419779358432,0.527159374207258,0.757488931762055,0.72546585649252
4.772,-1.6523,?,64.5207,2.0753e-06,2.559e-05,2.2197,23.3,?,65.1,10.4,928,12.16,0.227631,'yes','no','421814',0.64490677206777,0.519007008057088,0.933110961690545,0.127438755240291,0.734995565610006,0.403249900089577,0.438828225480393,0.207986155757681,0.169082878390327,0.926952132955194,0.824747507460415,0.442352191312239,0.0547102319542319,0.745062123285607,0.721430502831936,0.111363565549254
2.58,?,-2.1383,51.8109,1.5737e-06,?,?,19.8,-0.041,66.55,?,?,?,0.153556,?,'no','334877',0.517794588580728,0.117118655703962,0.553542730398476,0.664916740031913,0.643596020294353,0.0437922750134021,0.0933668138459325,0.0609162913169712,0.123641133308411,0.96711218287237,0.105085194576532,0.15027857106179,0.227975223213434,0.74051951779984,0.758929070550948,0.417403243249282
1.497,-1.671,?,105.029,9.0434e-06,8.937e-05,2.0101,85.4,0.316,261.36,9.85,705,12.16,0.126068,'yes','no','263361',0.489368624053895,0.30722004850395,0.953055090038106,0.293305641505867,0.067804838065058,0.308819316094741,0.639422482112423,0.828595338854939,0.627435855334625,0.571883566910401,0.0942550851032138,0.808505232678726,0.700565647799522,0.526524956570938,0.00262389658018947,0.936950152507052
0.845,-1.26,?,80.5384,3.2424e-06,6.028e-05,1.9986,12.6,?,139.05,8.57,387,4.096,0.177203,'yes','yes','316534',0.0707586023490876,0.641164132161066,0.238591383909807,0.252035417826846,0.239340208470821,0.953592624515295,0.993986748158932,0.72236044309102,0.322282227221876,0.726288217352703,0.487695686053485,0.72719520656392,0.347465383354574,0.280388492159545,0.432106526568532,0.865530734648928
0.689,-1.0842,?,?,5.551e-06,2.176e-05,1.9171,89.3,0.184,62.53,20.32,860,1.024,0.140844,'yes','yes','324895',0.712453425629064,0.0239604779053479,0.963091761339456,0.322686285246164,0.693964203819633,0.119779223343357,0.575203952146694,0.920386718120426,0.862182503798977,0.937153113773093,0.294193846406415,0.400571874342859,0.432482107542455,0.196105212438852,0.545542309992015,0.843863680725917
2.03,?,-2.0098,432.891,5.1194e-07,2.395e-05,2.1024,20.5,?,15.28,8.51,242,1.024,0.141504,'yes','no','176453',0.237736904760823,0.405893418937922,0.970837513450533,0.960024648346007,0.47453481098637,0.297595305135474,0.197155738482252,0.411499541485682,0.226097939768806,0.241697898833081,0.389686446171254,0.615496784681454,0.418005276005715,0.492567690555006,0.218076466117054,0.541264446917921
3.076,-1.2316,?,200.427,3.6249e-06,?,2.1504,13,?,49.68,7.64,494,16.384,0.101077,'yes','yes','375246',0.947272814344615,0.447906196815893,0.119464653078467,0.425763784907758,0.620431289775297,0.407478237524629,0.807366960449144,0.835341240512207,0.745923441136256,0.995991580421105,0.604995217872784,0.840857424074784,0.446915234904736,0.774474379839376,0.615312275476754,0.100285046966746
2.145,-1.0514,?,224.352,5.6228e-06,3.638e-05,1.7495,100.3,?,4.4,22.19,1245,0.512,0.0362426,'yes','no','294835',0.960351798450574,0.807184155099094,0.249075716594234,0.360783790005371,0.680864211171865,0.582443441497162,0.560148958582431,0.614045686321333,0.365247768582776,0.0434572852682322,0.648177874274552,0.378898380557075,0.874459229176864,0.96952872700058,0.683874626643956,0.635121003957465
0.422,-1.3283,?,122.613,4.4233e-06,5.242e-05,1.9686,19.9,0.129,88.2,7.61,1450,72,0.144508,'no','no','148833',0.930835026549175,0.697486722609028,0.992960847914219,0.682029050542042,0.605782328173518,0.317894167965278,0.84069017530419,0.16295669763349,0.563982154941186,0.540937951998785,0.0373307128902525,0.252487587276846,0.246070925379172,0.911264223977923,0.134569399291649,0.380789353046566
1.71,-1.5861,?,71.1226,?,3.886e-05,1.8295,18.6,?,14.25,8.05,206,1.024,0.128117,'yes','yes','148646',0.875413889763877,0.863472854718566,0.899296475108713,0.646128316642717,0.473504766123369,0.801503360271454,0.283360175089911,0.410870856139809,0.670717071276158,0.581775784026831,0.0263326710555702,0.524050488136709,0.97064142045565,0.551527574658394,0.659335235133767,0.153487631585449
2.1,-1.4359,?,128.046,1.3558e-05,6.028e-05,2.0223,80.3,?,254.28,7.56,187,1.024,0.158196,'yes','yes','336489',0.610776609508321,0.792492086999118,0.168992006685585,0.378525948617607,0.830284425755963,0.0593835143372416,0.141911040525883,0.797975894063711,0.0555627902504057,0.11023478070274,0.21477635926567,0.151367863873020,0.7958742484916,0.271630215924233,0.593712145462632,0.325045281555504
2.954,-1.7048,?,107.752,4.2299e-06,2.118e-05,2.0629,30.4,-0.028,108.56,10.52,600,4.096,0.216848,'yes','yes','275087',0.298276487039402,0.715536049799994,0.30486395675689,0.552435545250773,0.535895156674087,0.560832313727587,0.736291805980727,0.575955309672281,0.739297571592033,0.525187687482685,0.863570467568934,0.754128001164645,0.511870856164023,0.648784240242094,0.49353831843473,0.140504784649238
0.348,?,-3.073,23.8777,3.6081e-07,9.431e-06,1.9209,5.4,-0.046,20.46,14.21,4775,128,0.0688052,'no','yes','207399',0.889040293637663,0.823483134387061,0.854199980618432,0.0426323676947504,0.509894834132865,0.359862534096465,0.575956848450005,0.567806234350428,0.170136757427827,0.352265347028151,0.0369440405629575,0.975141538772732,0.43209907761775,0.0541946738958359,0.94807741465047,0.0534267844632268
4.27,-1.4072,?,89.4259,4.8363e-06,9.087e-05,2.0258,21.8,0.048,60.2,10,?,2.048,0.147656,'yes','no','117504',0.67425685795024,0.562330551911145,0.958143472205848,0.831433184910566,0.202097494155169,0.910531575325876,0.588822681223974,0.440284208627418,0.236851979512721,0.694080135785043,0.408404170302674,0.133635698817670,0.907276021083817,0.559938014717773,0.772198776714504,0.798747862223536
6.6,-1.3997,?,95.3236,2.8779e-06,?,2.1942,11.5,?,36,6.58,454,16.384,0.145486,'yes','no','177533',0.261551144300029,0.0875107555184513,0.750703245634213,0.277314384235069,0.433292995207012,0.477366975042969,0.596191454678774,0.707171990303323,0.185877526411787,0.422644650796428,0.502946426859125,0.607338519999757,0.46170625416562,0.362802901305258,0.647609720472246,0.505023339297622
3.53,-1.1476,?,?,1.8733e-06,?,2.1864,27.4,-0.048,109.89,10.48,775,8.192,0.217816,'yes','no','177408',0.218736563809216,0.0786337365861982,0.975138359237462,0.427516754483804,0.200724938884377,0.93964236881584,0.434965316904709,0.96124524017796,0.0236816182732582,0.476437546079978,0.346442137844861,0.800415565725416,0.35024978290312,0.629078577738255,0.781246389262378,0.126477313926443
0.767,-1.7404,?,113.124,1.8591e-06,4.772e-05,2.0446,52.7,0.148,16.2,10.83,262,0.512,0.10734,'yes','yes','310613',0.848146571079269,0.408970381133258,0.926236723549664,0.714536900632083,0.611660531722009,0.749746694229543,0.318336426513270,0.893504799110815,0.226977795362473,0.670429290737957,0.780027606990188,0.717911272542551,0.09556071809493,0.182450162013993,0.292306953808293,0.296596907777712
0.5295,-1.3529,?,35.3059,5.9087e-07,3.431e-05,2.1188,19.6,0.267,5.55,9.43,221,1.024,0.0255989,'yes','yes','330856',0.631503401091322,0.975848791887984,0.0896016748156399,0.786666253581643,0.110794543288648,0.302993629360572,0.35438322997652,0.140183294890448,0.358602703781798,0.743231393164024,0.694733842974529,0.795692002167925,0.859852522378787,0.122645675670356,0.92431720579043,0.151499358238652
2.4996,-1.3456,?,124.439,5.22e-06,?,1.8739,13.5,?,112.21,6.76,419,12.16,0.162741,'yes','yes','280706',0.638267877046019,0.0921228718943894,0.112943587126210,0.970648660790175,0.653452926082537,0.268559520132840,0.100970179773867,0.154994148761034,0.545513401739299,0.0500182290561497,0.474526418372989,0.400277195032686,0.503022646065801,0.6198723486159,0.279955055797473,0.112519868649542
1.9685,-1.3028,?,?,5.6132e-06,4.207e-05,2.0758,50.7,?,199.32,10,382,2.048,0.206132,'yes','yes','331093',0.851547974394634,0.427768069319427,0.700566831510514,0.8107066124212,0.491964497370645,0.00742485886439681,0.873813732760027,0.629694132134318,0.895102133508772,0.0841180284041911,0.420284040039405,0.00509465322829783,0.72580761089921,0.0431976013351232,0.726450620684773,0.816719294060022
0.714,-1.0884,?,92.025,4.4323e-07,?,1.652,12.5,?,4.3,10.59,323,1.024,0.0488872,'yes','no','174738',0.186969465110451,0.508930809097365,0.453090084483847,0.368723429972306,0.236370544647798,0.484982118476182,0.796023952076212,0.0230731766205281,0.874109670054168,0.76743065007031,0.102031592512503,0.392443690216169,0.203133915318176,0.670670411083847,0.574197180103511,0.177275205496699
3.35,-1.3129,?,174.457,9.7053e-06,4.212e-05,2.1127,57.9,?,453.15,7.59,196,1.024,0.154869,'yes','yes','319584',0.971945639234036,0.460909243207425,0.397098303772509,0.836946320487186,0.402631422737613,0.350066470215097,0.590370701858774,0.360482685035095,0.342791855568066,0.83422629465349,0.698945974931121,0.873256335500628,0.858364283340052,0.424561369232833,0.0975984828546643,0.0079285076353699
3.969,-1.3747,?,110.99,2.6093e-06,0.0002541,1.6063,13.2,?,60.48,10.96,1019,12.16,0.174661,'yes','yes','148225',0.127744322875515,0.200046823127195,0.206388626946136,0.696957494597882,0.604582122294232,0.682753592729568,0.339658953482285,0.714305957779288,0.0183211779221892,0.743937495397404,0.387492455774918,0.368909007171169,0.700398863991722,0.996993645559996,0.665668326430023,0.573368771700189
0.624,?,-2.0605,25.9683,4.777e-07,1.147e-05,1.9581,13.3,?,9.63,7.06,177,1.024,0.103983,'yes','yes','419797',0.567397794453427,0.48918719519861,0.202798364218324,0.900854292558506,0.929232524707913,0.458674778230488,0.6262297318317,0.780994518427178,0.603128450224176,0.376956277294084,0.885398742277175,0.772753182565793,0.0531065773684531,0.100787332048640,0.99230334861204,0.577289237640798
1.37,-1.7718,?,?,4.936e-07,2.256e-05,2.1949,14.3,?,18.36,11.42,236,0.512,0.0804666,'yes','yes','370846',0.735181675525382,0.759423119714484,0.552000680938363,0.486801257124171,0.654329645680264,0.93894598679617,0.157056654337794,0.95554254273884,0.47746307682246,0.364656883757561,0.191910195862874,0.196136511396617,0.152129008900374,0.689832659903914,0.143542211968452,0.639412749325857
1.063,-1.284,?,?,3.8255e-06,5.425e-05,2.1102,29.5,0.219,15.21,9.31,168,1.024,0.0332424,'yes','yes','378559',0.594950353726745,0.0619029602967203,0.361497471109033,0.733364989981055,0.164943176787347,0.303578722989187,0.105096163693815,0.477610185975209,0.0257822321727872,0.246510072145611,0.158582487842068,0.216048179427162,0.863311999710277,0.490275430725887,0.308938130736351,0.366017401451245
0.98,?,-2.1079,42.0614,4.7308e-07,?,2.2627,7.5,?,22.4,7.17,374,4.096,0.104866,'yes','no','293707',0.0724361925385892,0.0925492967944592,0.980535900220275,0.477698907256126,0.825278947129846,0.161938537843525,0.570286763133481,0.759865787578747,0.823967940406874,0.214022985892370,0.576055719284341,0.86532837152481,0.142787412041798,0.362086609937251,0.509239200269803,0.288466838654131
4.813,?,-2.0298,268.926,5.3188e-07,1.327e-05,2.0006,15.2,?,31.72,7.73,1502,64,0.194801,'no','no','414592',0.847879488719627,0.428452042862773,0.764264824101701,0.650912224780768,0.466143213445321,0.104867997113615,0.316060863668099,0.545877000084147,0.816862082341686,0.067129815928638,0.388174394611269,0.65121883735992,0.808190846117213,0.434327632188797,0.810953920939937,0.356526581337675
1.314,-1.3748,?,230.426,2.792e-05,8.25e-05,1.9035,273.8,0.118,83,8.08,110,0.256,0.0321642,'yes','yes','239899',0.728282579686493,0.8065111390315,0.86598843592219,0.0461427066475153,0.34529968095012,0.769725674530491,0.219523635227233,0.90081721241586,0.836239025462419,0.922257911646739,0.0387651801574975,0.80972985457629,0.78551321499981,0.689218239393085,0.0496744262054563,0.544310802826658
1.159,-1.1593,?,223.072,1.3868e-05,6.159e-05,1.8631,85.7,0.133,26.78,8.76,219,1.024,0.064142,'yes','yes','240766',0.920200482010841,0.0608584452420473,0.954032020876184,0.150202326709405,0.596856948686764,0.218256796477363,0.429452379699796,0.141298683593050,0.887117718346417,0.758730821544304,0.771322162123397,0.815511957276613,0.833961163647473,0.324388500070199,0.164577132556587,0.963934175437316
3,-1.6129,?,130.059,8.9949e-06,3.213e-05,2.1317,84.9,?,267.54,11.48,332,1.024,0.121287,'yes','yes','357512',0.52146603516303,0.392148867482319,0.0259177281986922,0.72109839739278,0.244833478005603,0.564295979449525,0.0484704538248479,0.364324562251568,0.484761068364605,0.95304566854611,0.539799125632271,0.89215421047993,0.713027417426929,0.406718904851004,0.0388033003546298,0.0186125501058996
6.7,-0.4048,?,?,7.5965e-07,?,1.7619,16.7,?,8.19,9.39,200,1.024,0.0952019,'yes','no','324561',0.0579238410573453,0.398845901247114,0.669345816364512,0.924442377407104,0.969201732426882,0.864014035090804,0.628947438206524,0.270085981115699,0.601706193294376,0.494500956032425,0.949656024808064,0.145345451543108,0.696565193822607,0.248285746434703,0.698568454245105,0.445519892498851
1.489,-1.5457,?,146.355,1.3632e-05,?,1.9074,80.6,?,103.24,10.8,295,1.024,0.0942382,'yes','yes','205851',0.851429807487875,0.585143654840067,0.717699896078557,0.522504136431962,0.474900394678116,0.68685400718823,0.663428022991866,0.31075974390842,0.254232418956235,0.957838408183306,0.991785952821374,0.455296733649448,0.419818645808846,0.966699306853116,0.131696754600853,0.163050541421399
2.625,-0.8031,?,?,1.0975e-06,8.603e-06,2.1515,17.7,?,79.79,8.87,1732,64,0.200246,'no','yes','353540',0.530166218988597,0.64445481565781,0.409351225942373,0.845529129030183,0.78728024638258,0.549640067620203,0.0639864294789732,0.657123506302014,0.314316512085497,0.522068805759773,0.548052279278636,0.897035202709958,0.149057793198153,0.501595643116161,0.260147765744478,0.395078077446669
4.41,-1.008,?,?,6.7621e-07,?,2.0258,18,-0.015,8.4,9.99,269,1.024,0.140174,'yes','yes','192059',0.00597863900475204,0.0318304412066936,0.861508529167622,0.781171116279438,0.542787143727764,0.753499886253849,0.938102893764153,0.511972314678133,0.223087396938354,0.29812966613099,0.183878206182271,0.0403222206514329,0.0503188797738403,0.571941190166399,0.78929711994715,0.893809594446793
5.11,-0.6852,?,?,1.2156e-06,?,2.0031,16.5,-0.001,74.1,13.36,3110,64,0.227997,'no','yes','211117',0.702588509768248,0.653557542711496,0.852119713788852,0.361532586626709,0.992640531156212,0.233843943569809,0.37686494528316,0.450048828730360,0.00598904327489436,0.350373877212405,0.439607735490426,0.0179167864844203,0.0874525192193687,0.40241842600517,0.618073079735041,0.593683711020276
2.737,-1.6963,?,?,?,?,2.0244,11.8,?,192.92,?,?,?,0.122711,?,'yes','359530',0.537518740165979,0.993834060849622,0.934489413863048,0.475932310568169,0.530903924955055,0.172738232417032,0.674009018577635,0.648204737808555,0.311242881929502,0.694557429058477,0.850921243429184,0.726310681318864,0.772489615250379,0.508344446541741,0.943739443086088,0.71314622508362
